Year,Tm,Player,Pos,College/Univ
1961,NYT,Tom Brown,G,Minnesota
1961,BOS,Tommy Mason,RB,Tulane
1961,DEN,Bob Gaiters,HB,New Mexico St.
1961,OAK,Joe Rutgens,DT,Illinois
1961,DTX,E.J. Holub,LB,Texas Tech
1961,SDG,Earl Faison,DE,Indiana
1961,HOU,Mike Ditka,TE,Pittsburgh
1961,BUF,Billy Shaw,G,Georgia Tech
1961,NYT,Herb Adderley,DB,Michigan St.
1961,DEN,Jerry Hill,RB,Wyoming
1961,BOS,Rip Hawkins,LB,North Carolina
1961,OAK,George Fleming,HB,Washington
1961,DTX,Bob Lilly,DT,TCU
1961,HOU,Tom Goode,C,Mississippi St.
1961,SDG,Keith Lincoln,FB,Washington St.
1961,BUF,Art Baker,FB,Syracuse
1961,BUF,Tom Gilburg,T,Syracuse
1961,BOS,Dan LaRose,T,Missouri
1961,DEN,Bo Strange,C,LSU
1961,OAK,Myron Pottios,LB,Notre Dame
1961,DTX,Jim Tyrer,T,Ohio St.
1961,SDG,Marlin McKeever,LB,USC
1961,HOU,Walt Suggs,T,Mississippi St.
1961,BUF,Stew Barber,T,Penn St.
1961,DEN,Sonny Davis,LB,Baylor
1961,DEN,Ron McDole,DE,Nebraska
1961,BOS,Mike Zeno,G,Virginia Tech
1961,OAK,Elbert Kimbrough,DB,Northwestern
1961,DTX,Claude Moorman,E,Duke
1961,HOU,Bobby Walden,P,Georgia
1961,SDG,Jimmy Johnson,DB,UCLA
1961,BUF,Norm Snead,QB,Wake Forest
1961,NYT,Tom Matte,RB,Ohio St.
1961,BOS,Fran Tarkenton,QB,Georgia
1961,DEN,Charlie Cowan,T,New Mex. Highlands
1961,OAK,Dick Norman,QB,Stanford
1961,DTX,Jerry Mays,DE,SMU
1961,SDG,Billy Kilmer,QB,UCLA
1961,HOU,Monte Lee,LB,Texas
1961,BUF,Fred Brown,HB,Georgia
1961,NYT,Bill Brown,RB,Illinois
1961,DEN,Dale Evans,HB,Kansas St.
1961,BOS,Larry Eisenhauer,DE,Boston Col.
1961,OAK,Bobby Crespino,SE,Mississippi
1961,HOU,Jake Gibbs,QB,Mississippi
1961,SDG,Calvin Bird,HB,Kentucky
1961,SDG,Cliff Roberts,T,Illinois
1961,DEN,Pat Patchen,E,Florida
1961,BOS,Paul Terhes,QB,Bucknell
1961,OAK,Ray Purdin,HB,Northwestern
1961,BUF,Al Bemiller,C,Syracuse
1961,DTX,Fred Arbanas,TE,Michigan St.
1961,NYT,Fred Mautino,E,Syracuse
1961,SDG,Claude Gibson,DB,North Carolina St.
1961,HOU,Dick Reynolds,T,North Carolina St.
1961,OAK,Dick Price,G,Mississippi
1961,OAK,Tom Watkins,HB,Iowa St.
1961,BOS,Charley Long,G,Chattanooga
1961,BUF,Chuck Linning,T,Miami (FL)
1961,NYT,Harold Beaty,T,Oklahoma St.
1961,DTX,John O'Day,T,Miami (FL)
1961,HOU,Houston Antwine,DT,Southern Illinois
1961,SDG,Charley Johnson,QB,New Mexico St.
1961,DEN,Phil Nugent,DB,Tulane
1961,BOS,Roland Lakes,DT,Wichita St.
1961,OAK,Lowndes Shingler,QB,Clemson
1961,BUF,Billy Majors,DB,Tennessee
1961,DTX,Dick Mills,G,Pittsburgh
1961,NYT,Bernie Casey,HB,Bowling Green
1961,SDG,Bob Scarpitto,FL,Notre Dame
1961,HOU,Ralph White,T,Bowling Green
1961,DEN,Charley Sturgeon,HB,Kentucky
1961,OAK,Ken Peterson,T,Utah
1961,BOS,Dick Mueller,E,Kentucky
1961,BUF,Don Kern,HB,VMI
1961,NYT,Joe Scibelli,G,American Int.
1961,DTX,Jerry Daniels,E,Mississippi
1961,HOU,Charley Lee,C,Iowa
1961,SDG,Willie Hector,G,Pacific
1961,DEN,John Simko,E,Augustana (SD)
1961,BOS,Mel West,HB,Missouri
1961,OAK,Doug Mayberry,FB,Utah St.
1961,BUF,Roy (Milam) Wall,HB,North Carolina
1961,DTX,Marvin Tibbets,HB,Georgia Tech
1961,NYT,Art Gilmore,HB,Oregon St.
1961,SDG,Greg Larson,C,Minnesota
1961,HOU,Bob Bird,G,Bowling Green
1961,DEN,Jerry Miller,E,Howard Payne
1961,OAK,Bob Schmitz,G,Montana St.
1961,BOS,Wayne Harris,C,Arkansas
1961,BUF,Floyd Powers,G,Mississippi St.
1961,NYT,Norris Stevenson,HB,Missouri
1961,DTX,Paul Hynes,DB,Louisiana Tech
1961,HOU,Bob McLeod,TE,Abilene Christian
1961,SDG,Hezekiah Braxton,FB,Virginia Union
1961,DEN,Ron Greene,G,Washington St.
1961,BOS,Dan Underwood,T,McNeese St.
1961,OAK,Jerry Burch,WR,Georgia Tech
1961,BUF,Tom Causey,E,Louisiana Tech
1961,DTX,Glynn Gregory,E,SMU
1961,NYT,Joe Wendryhoski,C,Illinois
1961,SDG,Dale Messer,HB,Fresno St.
1961,HOU,Gerald Hinton,G,Louisiana Tech
1961,DEN,Bill Cooper,FB,Muskingum
1961,OAK,Clark Miller,DE,Utah St.
1961,BOS,Jim Wright,DB,Memphis
1961,BUF,Ron Kostelnik,DT,Cincinnati
1961,NYT,Jim Cunningham,FB,Pittsburgh
1961,DTX,Curtis McClinton,FB,Kansas
1961,HOU,Jimmy King,T,Clemson
1961,SDG,Billy Wilson,T,Auburn
1961,DEN,Willie Crafts,G,Texas A&M-Kingsville
1961,OAK,Bob Coolbaugh,FL,Richmond
1961,BUF,Jerry Frye,E,South Carolina
1961,DTX,Roy Lee Rambo,G,TCU
1961,DTX,Ed Nutting,T,Georgia Tech
1961,NYT,Irv Cross,E,Northwestern
1961,SDG,Ernie Ladd,DT,Grambling St.
1961,HOU,Dennis Ferriter,C,Marquette
1961,DEN,Jim Larkin,T,Hillsdale
1961,OAK,Chuck Lamson,HB,Wyoming
1961,BOS,George Balthazar,T,Tennessee St.
1961,BUF,Vince Scott,E,Maryland
1961,NYT,Jerry Steffen,HB,Colorado
1961,DTX,Aaron Thomas,TE,Oregon St.
1961,HOU,Larry Wood,HB,Northwestern
1961,SDG,Bud Whitehead,DB,Florida St.
1961,DEN,Chuck Weiss,FB,Colorado
1961,BOS,Ray Ratkowski,HB,Notre Dame
1961,OAK,Joe Novsek,DE,Tulsa
1961,BUF,Wayne Wolff,G,Wake Forest
1961,DTX,Jarrell Williams,HB,Arkansas
1961,NYT,Mike Pyle,T,Yale
1961,SDG,Reggie Carolan,TE,Idaho
1961,HOU,Sam Fewell,T,South Carolina
1961,DEN,Chick Graning,HB,Georgia Tech
1961,OAK,Joe Krakoski,DB,Illinois
1961,BOS,Tom Rodgers,HB,Kentucky
1961,BUF,John Bodkin,G,South Carolina
1961,NYT,Alfred Bentley,E,Arkansas St.
1961,DTX,Ron Hartline,FB,Oklahoma
1961,HOU,Ike Grimsley,HB,Michigan St.
1961,SDG,Ed Dyas,FB,Auburn
1961,DEN,John Hobbs,G,MD-Eastern Shore
1961,BOS,Joe Bellino,HB,Navy
1961,OAK,Charley Fuller,HB,San Francisco St.
1961,BUF,Charlie Barnes,E,La-Monroe
1961,DTX,Frank Jackson,FL,SMU
1961,NYT,Jim Kerr,DB,Penn St.
1961,SDG,Jack Espenship,HB,Florida
1961,HOU,Myron Pearson,HB,Colorado St.
1961,DEN,Buck McLeod,T,Baylor
1961,OAK,Preston Powell,FB,Grambling St.
1961,BOS,Clarence Childs,DB,Florida A&M
1961,BUF,Everett Cloud,HB,Maryland
1961,NYT,Neil Plumley,T,Oregon St.
1961,DTX,Bobby Lane,LB,Baylor
1961,HOU,Lewis Johnson,HB,Florida A&M
1961,SDG,Mike Lucci,C,Tennessee
1961,DEN,Jim Morgan,HB,Iowa St.
1961,BOS,Don Oakes,T,Virginia Tech
1961,OAK,Mike Jones,QB,San Jose St.
1961,BUF,Larry Vargo,DB,Detroit Mercy
1961,DTX,Dick Thornton,QB,Northwestern
1961,NYT,Bob Brooks,FB,Ohio
1961,SDG,Gene Gaines,HB,UCLA
1961,HOU,Ron Miller,QB,Wisconsin
