Year,Tm,Player,Pos,College/Univ
1961,DEN,Tom Hackler,E,Tennessee Tech
1961,OAK,Blayne Jones,G,Idaho St.
1961,BOS,Bob Johnson,E,Michigan
1961,BUF,Charlie Baker,T,Tennessee
1961,NYT,Wayne Fontes,DB,Michigan St.
1961,DTX,Ed Sharockman,DB,Pittsburgh
1961,HOU,Bob Kelly,T,New Mexico St.
1961,SDG,John Brown,T,Syracuse
1961,DEN,Tom Jewel,T,Idaho St.
1961,BOS,Darrel DeDecker,C,Illinois
1961,OAK,Roger Fisher,C,Utah St.
1961,BUF,Red Mack,TE,Notre Dame
1961,DTX,Lou Zivkovich,T,New Mexico St.
1961,NYT,Mickey Walker,G,Michigan St.
1961,SDG,Glenn Bass,SE,East Carolina
1961,HOU,Jim Anderson,FB,Mississippi
1961,DEN,E.A. Simms,E,New Mexico St.
1961,OAK,Jack Novak,G,Miami (FL)
1961,BOS,Don Webb,DB,Iowa St.
1961,BUF,Frank Jackunas,C,Detroit Mercy
1961,NYT,Howard Dyer,QB,VMI
1961,DTX,Pat Dye,G,Georgia
1961,HOU,Ken Gregory,E,Whittier
1961,SDG,Ben Balme,G,Yale
1961,DEN,Pete Samms,T,Central Oklahoma
1961,BOS,Bob Minihane,T,Boston Univ.
1961,OAK,Paul Yanke,E,Northwestern
1961,BUF,Jack Harbaugh,HB,Bowling Green
1961,DTX,Ray Ramsey,QB,Adams St.
1961,NYT,Andy Griffith,HB,American Int.
1961,SDG,Donald Coffey,WR,Memphis
1961,HOU,Jack Kreider,HB,Tulsa
1961,DEN,Sam Smith,HB,North Alabama
1961,OAK,Dean Hinshaw,T,Stanford
1961,BOS,Charley Granger,T,Southern
1961,BUF,Lorenzo Stanford,T,North Carolina A&T
1961,NYT,Bobby Smith,DB,UCLA
1961,DTX,Danny House,HB,Davidson
1961,HOU,Don Fuell,QB,Southern Miss
1961,SDG,Bill Kinnune,G,Washington
1961,DEN,Don Olson,HB,Nebraska
1961,BOS,Terry Huxhold,T,Wisconsin
1961,OAK,Clair Appledoorn,E,San Jose St.
1961,BUF,Bob Allen,E,Wake Forest
1961,DTX,Bob Schloredt,QB,Washington
1961,NYT,Moses Gray,T,Indiana
1961,SDG,Luther Hayes,E,USC
1961,HOU,Boyd King,C,Rice
1961,DEN,Wayne Lee,G,Colorado St.
1961,OAK,Dave Grosz,QB,Oregon
1961,BOS,Bryant Harvard,QB,Auburn
1961,BUF,Jason Harness,E,Michigan St.
1961,NYT,Fred Cox,K,Pittsburgh
1961,DTX,Bill Stine,G,Michigan
1961,HOU,John Frongillo,C,Baylor
1961,SDG,Chuck Allen,LB,Washington
1961,DEN,Archie Cobb,T,Nebraska
1961,BOS,Ernie McMillan,T,Illinois
1961,OAK,Ed Morris,T,Indiana
1961,BUF,Mike Stock,HB,Northwestern
1961,DTX,Lonnie Caddell,FB,Rice
1961,SDG,Dan Ficca,G,USC
1961,HOU,Tom Lewis,E,Lake Forest
1961,HOU,Errol Linden,T,Houston
1961,DEN,Dave Mills,HB,Truman St.
1961,OAK,Bill Face,HB,Stanford
1961,BOS,George Hultz,DT,Southern Miss
1961,BUF,Billy Martin,HB,Minnesota
1961,NYT,Bill Minnerly,HB,Connecticut
1961,DTX,Cedric Price,E,Kansas St.
1961,HOU,Jim Stroud,T,Rice
1961,SDG,Mike McKeever,G,USC
1962,OAK,Roman Gabriel,QB,North Carolina St.
1962,DEN,Merlin Olsen,DT,Utah St.
1962,DTX,Ronnie Bull,RB,Baylor
1962,BUF,Ernie Davis,HB,Syracuse
1962,NYT,Sandy Stephens,QB,Minnesota
1962,BOS,Gary Collins,FL,Maryland
1962,HOU,Ray Jacobs,DT,Howard Payne
1962,SDG,Bob Ferguson,FB,Ohio St.
1962,OAK,Lance Alworth,FL,Arkansas
1962,DEN,Jerry Hillebrand,LB,Colorado
1962,DTX,Bill Miller,SE,Miami (FL)
1962,BUF,Glenn Glass,DB,Tennessee
1962,NYT,Alex Kroll,T,Rutgers
1962,BOS,Leroy Jackson,HB,Western Illinois
1962,HOU,Earl Gros,FB,LSU
1962,SDG,Dick Hudson,T,Memphis
1962,OAK,Ed Pine,LB,Utah
1962,DEN,Charles Holmes,FB,MD-Eastern Shore
1962,DTX,Eddie Wilson,QB,Arizona
1962,BUF,Jack Elwell,WR,Purdue
1962,NYT,Fate Echols,T,Northwestern
1962,BOS,Sherwyn Thorson,G,Iowa
1962,HOU,Pete Case,G,Georgia
1962,SDG,John Hadl,QB,Kansas
1962,OAK,John Meyers,DT,Washington
1962,DEN,John Furman,QB,Texas-El Paso
1962,DTX,Chuck Hinton,DT,North Carolina Central
1962,DTX,Irv Goode,G,Kentucky
1962,NYT,Ed Blaine,G,Missouri
1962,HOU,Gary Cutsinger,DE,Oklahoma St.
1962,SDG,Bob Bill,T,Notre Dame
1962,SDG,Mack Burton,HB,San Jose St.
1962,OAK,Joe Hernandez,WR,Arizona
1962,SDG,Bob Mitinger,LB,Penn St.
1962,DTX,Bobby Plummer,T,TCU
1962,BUF,Tom Dellinger,HB,North Carolina St.
1962,NYT,Bobby Ply,DB,Baylor
1962,BOS,Bill Hull,DE,Wake Forest
1962,HOU,Bill Rice,E,Alabama
1962,SDG,John Cornett,T,Rice
1962,OAK,Dan Birdwell,DT,Houston
1962,SDG,Roy Winston,LB,LSU
1962,DTX,Al Hinton,E,Iowa
1962,BUF,Dave Viti,E,Boston Univ.
1962,NYT,Mel Melin,QB,Washington St.
1962,BOS,Billy Neighbors,G,Alabama
1962,HOU,Ray Pinion,G,TCU
1962,SDG,Frank Buncom,LB,USC
1962,OAK,Jim Norris,DT,Houston
1962,DEN,John McGeever,DB,Auburn
1962,SDG,Wendell Harris,DB,LSU
1962,BUF,Jim LeCompte,G,North Carolina
1962,NYT,George Mans,E,Michigan
1962,BOS,John Schopf,T,Michigan
1962,HOU,Gus Gonzales,G,Tulane
1962,SDG,Bobby Jackson,FB,New Mexico St.
1962,OAK,Ferrell Yarborough,E,Northwestern St. (LA)
1962,DEN,Elbert Harris,HB,Southeastern Louisiana
1962,DTX,Larry Bowie,G,Purdue
1962,BUF,Paul White,HB,Florida
1962,NYT,John Lomakoski,T,Western Michigan
1962,BOS,Bennie McRae,DB,Michigan
1962,HOU,Clyde Brock,T,Utah St.
1962,SDG,Jerry Robinson,FL,Grambling St.
1962,OAK,Jim Dillard,HB,Oklahoma St.
1962,DEN,Larry Jepson,C,Furman
1962,DTX,Marshall Shirk,T,UCLA
1962,BUF,Bill Saul,LB,Penn St.
1962,NYT,Gary Barnes,WR,Clemson
1962,BOS,Bill Triplett,RB,Miami (OH)
1962,HOU,Larry Onesti,LB,Northwestern
1962,SDG,Tom Minter,DB,Baylor
1962,OAK,Hank Rivera,DB,Oregon St.
1962,DEN,Gale Weidner,QB,Colorado
1962,DTX,Jimmy Saxton,HB,Texas
1962,BUF,Amos Bullocks,HB,Southern Illinois
1962,NYT,Ted Stute,T,Ohio
1962,BOS,John Knight,HB,Valparaiso
1962,HOU,Bob Moses,E,Texas
1962,SDG,Dan Sullivan,G,Boston Col.
1962,DTX,Bobby Hunt,DB,Auburn
1962,DEN,Mike Kline,G,Oregon St.
1962,DTX,Guy Reese,DT,SMU
1962,BUF,Jerry Croft,G,Bowling Green
1962,NYT,Curtis Miranda,C,Florida A&M
1962,BUF,Tom Pennington,K,Georgia
1962,HOU,John Thomas,G,McMurry
1962,SDG,Sonny Bishop,G,Fresno St.
1962,OAK,Jim Skaggs,G,Washington
1962,NYT,Bill Winter,T,West Virginia
1962,DTX,Bobby Thompson,DB,Arizona
1962,OAK,Gary Schwertfeger,LB,Montana
1962,SDG,Ralph Smith,TE,Mississippi
1962,OAK,Oscar Donahue,WR,San Jose St.
1962,HOU,Jack Collins,HB,Texas
1962,SDG,George Andrie,DE,Marquette
1962,OAK,George Pierovich,FB,California
1962,DEN,Bob Cegelski,C,Montana St.
1962,BUF,Ron Gassert,DT,Virginia
1962,BUF,Mike Stratton,LB,Tennessee
1962,NYT,Wilburn Hollis,QB,Iowa
1962,BOS,Nick Buoniconti,LB,Notre Dame
1962,HOU,Royce Cassell,E,New Mexico St.
1962,SDG,Chuck Bryant,E,Ohio St.
1962,OAK,Bert Coan,HB,Kansas
1962,DEN,Sonny Gibbs,QB,TCU
1962,DTX,Bookie Bolin,G,Mississippi
1962,BUF,Ron Skufca,T,Purdue
1962,NYT,Bert Wilder,DE,North Carolina St.
1962,BOS,Chuck Sieminski,DT,Penn St.
1962,HOU,Glynn Griffing,QB,Mississippi
1962,SDG,Jim Bates,HB,USC
1962,OAK,Floyd Dean,LB,Florida
1962,DEN,Bill Louden,G,Benedictine
1962,DTX,Dave Graham,T,Virginia
1962,BUF,Roger Kochman,HB,Penn St.
1962,NYT,Sam Mudie,HB,Rutgers
1962,BOS,Gerry Goerlitz,C,Northern Michigan
1962,HOU,Ken Shaffer,T,Marquette
1962,SDG,Fred Moore,DT,Memphis
1962,OAK,Pat Russ,DT,Purdue
1962,DEN,Gary Ballman,FL,Michigan St.
1962,DTX,Pettis Norman,TE,Johnson C. Smith
1962,BUF,Frank Imperiale,T,Southern Illinois
1962,NYT,Jim Smith,T,Penn St.
1962,BOS,Ken Byers,G,Cincinnati
1962,HOU,Billy Ray Adams,FB,Mississippi
1962,SDG,George Gross,DT,Auburn
1962,OAK,Larry Ferguson,HB,Iowa
1962,DEN,Jerry Tarr,WR,Oregon
1962,DTX,Tommy Brooker,E,Alabama
1962,BUF,Tom Sestak,DT,McNeese St.
1962,NYT,Al Miller,LB,Ohio
1962,BOS,Scott Maentz,E,Michigan
1962,HOU,Bill Miller,DT,New Mex. Highlands
1962,SDG,Frank Gardner,T,North Carolina Central
1962,OAK,Jim Vollenweider,HB,Miami (FL)
1962,DEN,Pete Schenck,E,Washington St.
1962,DTX,Joe Carollo,T,Notre Dame
1962,BUF,Joe Kehoe,E,Virginia
1962,NYT,Buddy Iles,E,TCU
1962,BOS,Tom Chandler,T,Florida A&M
1962,HOU,Art Perkins,FB,North Texas
1962,SDG,Dennis Biodrowski,G,Memphis
1962,OAK,Dennis Spurlock,QB,Whitworth
1962,OAK,Kent Horne,T,BYU
1962,DTX,Lee Welch,HB,Mississippi St.
1962,BUF,Bill Johnson,LB,Southeastern Louisiana
1962,NYT,Reed Bohovich,G,Lehigh
1962,BOS,Ron Meyers,E,Villanova
1962,HOU,Bobby Jancik,DB,Lamar
1962,SDG,Mike Lind,FB,Notre Dame
1962,OAK,John Sutro,T,San Jose St.
1962,DEN,Mike Martin,E,Washington St.
1962,DTX,Mike Semcheski,G,Lehigh
1962,BUF,Sam Tidmore,LB,Ohio St.
1962,NYT,Judge Dickson,FB,Minnesota
1962,BOS,Tommy Neck,DB,LSU
1962,HOU,Joe Bob Isbell,G,Houston
1962,SDG,Ron Herman,QB,Bradley
1962,OAK,Bill Tunnicliff,FB,Michigan
1962,DEN,Jim Perkins,T,Colorado
1962,DTX,Kent Martin,T,Wake Forest
1962,BUF,Carey Henley,HB,Chattanooga
1962,NYT,Ron Hatcher,FB,Michigan St.
1962,BOS,John Traynham,HB,VMI
1962,HOU,Roland Jackson,FB,Rice
1962,SDG,Jesse Williams,C,Fresno St.
1962,OAK,Jim Cadile,G,San Jose St.
1962,DEN,Don Kasso,HB,Oregon St.
1962,DTX,Jim Bernhardt,T,Linfield
1962,BUF,Tom Hall,WR,Minnesota
1962,NYT,Tom Nolan,T,Widener
1962,BOS,Bob Asack,T,Columbia
1962,HOU,Kenny Bolin,HB,Houston
1962,SDG,Jim Thibert,LB,Toledo
1962,OAK,Elvin Basham,G,Kansas
1962,DEN,Ken Tureaud,HB,Michigan
1962,DTX,Russ Foret,T,Georgia Tech
1962,BUF,Ray Abruzzese,B,Alabama
1962,NYT,John Kuprok,E,Pittsburgh
1962,BOS,Walt Crate,HB,Widener
1962,HOU,Bill Van Buren,C,Iowa
1962,SDG,Dick Farris,G,North Texas
1962,OAK,Mickey Bruce,HB,Oregon
1962,DEN,Neil Thomas,G,Hillsdale
1962,DTX,Pat Trammell,QB,Alabama
1962,BUF,Stan Sczurek,LB,Purdue
1962,NYT,Johnny Counts,HB,Illinois
1962,BOS,Don Christman,C,Richmond
1962,HOU,Boyd Melvin,T,Northwestern
1962,SDG,Homer Jones,HB,Texas Southern
1962,OAK,Tom Cagaanan,HB,Utah St.
1962,DEN,Dave Edwards,LB,Auburn
1962,DTX,John Burrell,WR,Rice
1962,BUF,Dave Gash,E,Kentucky
1962,NYT,Russ Warren,HB,Columbia
1962,BOS,Bob Stem,C,Syracuse
1962,HOU,Bob Johnston,T,Rice
1962,SDG,Sam Gruneisen,C,Villanova
1962,OAK,Fred Miller,DT,LSU
1962,DEN,Jim Roberts,T,Mississippi
1962,DTX,Walt Rappold,QB,Duke
1962,BUF,Ed Reynolds,T,Tulane
1962,NYT,Chuck Morris,HB,Mississippi
1962,BOS,Jimmy Field,QB,LSU
1962,HOU,Harold Hays,LB,Southern Miss
1962,SDG,Mike Woulfe,LB,Colorado
1962,OAK,Keith Luhnow,FB,Santa Ana JC
1962,DEN,Andy Von Sonn,LB,UCLA
1962,DTX,Scott Tyler,HB,Miami (OH)
1962,BUF,Claude Crabb,DB,Colorado
1962,NYT,Jerry Archer,C,Pittsburg St.
1962,BOS,Albert Gursky,LB,Penn St.
1962,HOU,Roger McFarland,HB,Kansas
1962,SDG,Mel Rideout,QB,Richmond
1962,OAK,Marv Marinovich,G,USC
1962,DEN,Paul Holmes,T,Georgia
1962,DTX,Jim Thrush,T,Xavier (OH)
1962,BUF,Roy Walker,FB,Purdue
1962,NYT,Walter Nikirk,T,Houston
1962,BOS,Charlie Dickerson,T,Illinois
1962,HOU,Gary Henson,E,Colorado
1962,SDG,Ben Wilson,FB,USC
1962,OAK,Leon Donohue,G,San Jose St.
1962,DEN,Lynn Hoyem,G,Long Beach St.
1962,DTX,Ed Ryan,HB,Michigan St.
1962,BUF,Jim Beaver,DT,Florida
1962,NYT,Frank Parker,DT,Oklahoma St.
1962,BOS,Julius Fincke,T,McNeese St.
1962,HOU,Ron Osborne,T,Clemson
1962,SDG,Paul Dudley,HB,Arkansas
1962,OAK,Pete Nicklas,T,Baylor
1962,DEN,Walt Mince,HB,Arizona
1962,DTX,Don Goodman,HB,Florida
1962,BUF,Cody Binkley,C,Vanderbilt
1962,NYT,Mike McClellan,DB,Oklahoma
1962,BOS,John Finn,T,Louisville
1962,HOU,Bob Clemens,FB,Pittsburgh
1962,SDG,John Denvir,G,Colorado
1962,OAK,Bob Elliott,FB,North Carolina
1962,DEN,Bill Williamson,T,Bakersfield JC
1962,DTX,Everisto Nino,T,East Texas A&M
1962,BUF,Jim Collier,TE,Arkansas
1962,NYT,L.E. Hicks,T,Florida
1962,BOS,Mike Ingram,G,Ohio St.
1962,HOU,Albert Kimbrough,HB,Northwestern
1962,SDG,Doug Elmore,P,Mississippi
1962,OAK,Bobby Richards,DE,LSU
1962,DEN,Vester Flanagan,T,Humboldt St.
1962,DTX,Joel Arrington,HB,Duke
1962,BUF,Ken Ericson,E,Syracuse
1962,NYT,Don Jonas,HB,Penn St.
1962,BOS,Charley Taylor,HB,Mississippi
1962,HOU,Bernard Wyatt,HB,Iowa
1962,SDG,Wayne Frazier,C,Auburn
1962,OAK,Gene White,HB,Florida A&M
1962,DEN,Duane Allen,TE,Santa Ana JC
1962,DTX,Jack Wilson,HB,Duke
1962,BUF,Tony Parrilli,G,Illinois
1962,NYT,Nick Maravich,T,North Carolina St.
1962,BOS,Steve Jastrzembski,E,Pittsburgh
1962,HOU,Al Lederle,E,Georgia Tech
1962,SDG,Jacque MacKinnon,TE,Colgate
1962,OAK,Bill Worrell,T,Georgia
1962,DEN,Steve Stonebreaker,LB,Detroit Mercy
1962,DTX,Roger Shoals,T,Maryland
1962,BUF,Ben Charles,QB,USC
1962,NYT,Dick Wilson,C,Penn St.
1962,BOS,Ray Lardani,T,Miami (FL)
1962,HOU,Don Talbert,T,Texas
1962,SDG,Phil Lohman,C,Oklahoma
1963,KAN,Buck Buchanan,DT,Grambling St.
1963,SDG,Walt Sweeney,G,Syracuse
1963,NYJ,Jerry Stovall,DB,LSU
1963,BUF,Dave Behrman,C,Michigan St.
1963,DEN,Kermit Alexander Jr.,DB,UCLA
1963,HOU,Danny Brabham,LB,Arkansas
1963,BOS,Art Graham,SE,Boston Col.
1963,KAN,Ed Budde,G,Michigan St.
1963,BUF,Jim Dunaway,DT,Mississippi
1963,SDG,Rufus Guthrie,G,Georgia Tech
1963,DEN,Ray Poage,TE,Texas
1963,BUF,Tom Hutchinson,TE,Kentucky
1963,DEN,Tom Nomina,DT,Miami (OH)
1963,BOS,Lee Roy Jordan,LB,Alabama
1963,HOU,Don Estes,G,LSU
1963,KAN,Walt Rock,T,Maryland
1963,SDG,Dave Robinson,LB,Penn St.
1963,SDG,Keith Kinderman,FB,Florida St.
1963,NYJ,Willie Richardson,FL,Jackson St.
1963,BUF,Tom Brown,DB,Maryland
1963,DEN,Tom Janik,DB,Texas A&M-Kingsville
1963,HOU,Jerry Cook,HB,Texas
1963,BOS,Bob Vogel,T,Ohio St.
1963,KAN,Don Brumm,DE,Purdue
1963,HOU,Lee Roy Caffey,LB,Texas A&M
1963,SDG,Roy Williams,DT,Pacific
1963,NYJ,John Contoulis,DT,Connecticut
1963,BUF,Tom Woodeshick,RB,West Virginia
1963,DEN,Lou Slaby,LB,Pittsburgh
1963,BOS,Bob Reynolds,T,Bowling Green
1963,HOU,Jerry Hopkins,LB,Texas A&M
1963,KAN,Daryl Sanders,T,Ohio St.
1963,HOU,Homer Jones,SE,Texas Southern
1963,SDG,Larry Glueck,DB,Villanova
1963,NYJ,John Mackey,TE,Syracuse
1963,BUF,Bob Jencks,TE,Miami (OH)
1963,DEN,Ray Mansfield,C,Washington
1963,HOU,Don Chuy,G,Clemson
1963,BOS,Lou Cioci,G,Boston Col.
1963,KAN,John Campbell,LB,Minnesota
1963,OAK,Butch Wilson,TE,Alabama
1963,SDG,Pat Emerick,LB,Western Michigan
1963,NYJ,Jim Price,LB,Auburn
1963,BUF,Jim Moss,LB,South Carolina
1963,DEN,Anton Peters,DT,Florida
1963,BOS,Sam Silas,DT,Southern Illinois
1963,HOU,Lionel Aldridge,DE,Utah St.
1963,KAN,George Saimes,DB,Michigan St.
1963,OAK,Dave Costa,DT,Utah
1963,DEN,Mickey Slaughter,QB,Louisiana Tech
1963,NYJ,Louis Guy,DB,Mississippi
1963,BUF,Jim Kanicki,DT,Michigan St.
1963,DEN,Paul Flatley,WR,Northwestern
1963,HOU,Johnny Baker,LB,Mississippi St.
1963,BOS,Dick Williamson,E,Alabama
1963,KAN,Bobby Bell,LB,Minnesota
1963,OAK,Roger Locke,E,Arizona St.
1963,SDG,Gene Heeter,TE,West Virginia
1963,NYJ,Bill King,QB,Dartmouth
1963,DEN,Hewritt Dixon,RB,Florida A&M
1963,DEN,John Griffin,DB,Memphis
1963,BOS,Rod Foster,G,Ohio St.
1963,HOU,Jimmy Burson,DB,Auburn
1963,KAN,John Sklopan,DB,Southern Miss
1963,OAK,Jerry Logan,DB,West Texas A&M
1963,SDG,Steve Barnett,T,Oregon
1963,NYJ,Stan Sanders,E,Whittier
1963,BUF,Larry Stallings,LB,Georgia Tech
1963,DEN,Marv Fleming,TE,Utah
1963,HOU,Ed Burke,T,Notre Dame
1963,BOS,Jim Simon,G,Miami (FL)
1963,KAN,Jan Barrett,E,Fresno St.
1963,OAK,Ray Schoenke,G,SMU
1963,SDG,Don Scott,T,Tampa
1963,NYJ,Tony Liscio,T,Tulsa
1963,BUF,Ron Snidow,DE,Oregon
1963,DEN,Lonnie Sanders,DB,Michigan St.
1963,DEN,Pat Richter,TE,Wisconsin
1963,BOS,Don McKinnon,LB,Dartmouth
1963,KAN,Curt Farrier,DT,Montana St.
1963,KAN,Lindy Infante,HB,Florida
1963,SDG,Bob Petrich,DE,West Texas A&M
1963,BUF,Ron Goodwin,FL,Baylor
1963,HOU,Tom Brown,G,Pittsburgh
1963,DEN,Billy Joe,RB,Villanova
1963,BOS,Dave Hayes,FB,Penn St.
1963,BOS,Dave Watson,G,Georgia Tech
1963,KAN,Jerrel Wilson,RB,Southern Miss
1963,OAK,Walt Burden,LB,McNeese St.
1963,SDG,Terry Baker,QB,Oregon St.
1963,NYJ,Joe Craver,LB,North Carolina
1963,BOS,Billy Gambrell,SE,South Carolina
1963,DEN,John Gamble,E,Pacific
1963,BOS,Tim Gauntner,HB,John Carroll
1963,OAK,Doyle Bransom,HB,Southern Oregon
1963,NYJ,Tommy Lucas,E,Texas
1963,OAK,Darnel Haney,E,Utah St.
1963,SDG,Chuck Walton,G,Iowa St.
1963,NYJ,Olin Hill,T,Furman
1963,BOS,Dave Adams,T,Arkansas
1963,DEN,Butch Maples,LB,Baylor
1963,OAK,Drew Roberts,E,Humboldt St.
1963,BOS,Ralph Ferrisi,FB,Southern Connecticut St.
1963,KAN,Dennis Ward,G,Oklahoma
1963,KAN,Stone Johnson,HB,Grambling St.
1963,SDG,Frank Lasky,T,Florida
1963,SDG,Hatch Rosdahl,DE,Penn St.
1963,BUF,J.B. Simmons,E,Tulsa
1963,SDG,Jack Cvercko,G,Northwestern
1963,BOS,Whaley Hall,T,Mississippi
1963,HOU,Don Trull,QB,Baylor
1963,KAN,Jim (Preacher) Pilot,HB,New Mexico St.
1963,OAK,Vern Burke,SE,Oregon St.
1963,SDG,Mike Fracchia,HB,Alabama
1963,NYJ,Pete Liske,QB,Penn St.
1963,BUF,Paul Underhill,FB,Missouri
1963,DEN,Winston Freeman,E,North Texas
1963,HOU,Joe Don Looney,HB,Oklahoma
1963,BOS,Bob Dentel,C,Miami (FL)
1963,KAN,Joe Auer,RB,Georgia Tech
1963,OAK,Jim Moss,HB,West Virginia
1963,SDG,Gene Breen,LB,Virginia Tech
1963,NYJ,Nick Ryder,FB,Miami (FL)
1963,BUF,Ed Hoerster,LB,Notre Dame
1963,DEN,Dave Crossan,C,Maryland
1963,BOS,Wes Bryant,T,Arkansas
1963,HOU,Rex Benson,T,Miami (FL)
1963,KAN,Mel Profit,E,UCLA
1963,OAK,John Murio,HB,Whitworth
1963,SDG,Dick Drummond,HB,George Washington
1963,NYJ,Charley Johnson,G,Villanova
1963,BUF,Jeff Slabaugh,T,Indiana
1963,DEN,Bob Paremore,HB,Florida A&M
1963,HOU,Jerry Griffin,E,Louisiana Tech
1963,BOS,Tom Neumann,HB,Northern Michigan
1963,KAN,Billy Moore,QB,Arkansas
1963,OAK,Terry Dillon,DB,Montana
1963,OAK,George Hogan,G,Texas A&M
1963,NYJ,Bill Munsey,HB,Minnesota
1963,BUF,Herb Paterra,LB,Michigan St.
1963,DEN,Charley Mitchell,HB,Washington
1963,BOS,Dave O'Brien,T,Boston Col.
1963,HOU,Paul Lea,HB,Oklahoma
1963,KAN,Bill Freeman,T,Southern Miss
1963,OAK,Tony Fiorentino,G,UCLA
1963,SDG,Ernie Park,G,McMurry
1963,NYJ,Gary Kroner,DB,Wisconsin
1963,BUF,Eugene Sykes,DB,LSU
1963,DEN,Frank Baker,FB,Toledo
1963,HOU,Bob Hoover,HB,Florida
1963,BOS,Pat McCarthy,QB,Holy Cross
1963,KAN,Bruce Starling,DB,Florida
1963,OAK,Rex Mirich,DT,Northern Arizona
1963,SDG,Buddy Soefker,LB,LSU
1963,NYJ,John Johnson,DT,Indiana
1963,BUF,Harlow Fullwood,T,Virginia
1963,DEN,Dan Grimm,G,Colorado
1963,BOS,Jim Bradshaw,DB,Chattanooga
1963,HOU,Wayne Lee,C,Oklahoma
1963,KAN,Lowell Vaught,T,Louisiana
1963,OAK,Neal Petties,E,San Diego St.
1963,SDG,Dan Points,T,Cincinnati
1963,NYJ,Ron Vander Kelen,QB,Wisconsin
1963,BUF,Ed Adamchik,C,Pittsburgh
1963,DEN,Ross Nolan,E,La-Monroe
1963,HOU,Staley Faulkner,T,Texas
1963,BOS,Gary Sherman,B,Bowling Green
1963,KAN,Ernie Borghetti,T,Pittsburgh
1963,OAK,Hugh Campbell,E,Washington St.
1963,SDG,Roger Gill,WR,Texas Tech
1963,NYJ,Bill Thornton,FB,Nebraska
1963,BUF,Chuck Walker,DT,Duke
1963,DEN,Dave Mathieson,QB,Washington St.
1963,BOS,Nat Craddock,FB,Parsons
1963,HOU,Sam Byer,FB,Texas A&M
1963,KAN,John Maczuzak,DT,Pittsburgh
1963,OAK,Jon Anabo,QB,Fresno St.
1963,SDG,Paul Watters,T,Miami (OH)
1963,NYJ,Lou Rettino,FB,Villanova
1963,BUF,Bob Middleton,E,Ohio St.
1963,DEN,Billy Joe Moody,HB,Arkansas
1963,HOU,Gene Raesz,E,Rice
1963,BOS,Al Snyder,WR,Holy Cross
1963,KAN,Dave Adams,G,Arkansas
1963,OAK,Dick Peters,T,Whittier
1963,SDG,Bill Frank,T,Colorado
1963,NYJ,Lowell Caylor,DB,Miami (OH)
1963,BUF,Daryle Lamonica,QB,Notre Dame
1963,DEN,C.B. Simons,LB,Stanford
1963,BOS,Dick Schulz,T,Ohio
1963,HOU,Bob Burton,T,Grambling St.
1963,KAN,Dave Hill,T,Auburn
1963,OAK,Bill McFarland,FB,Oklahoma St.
1963,SDG,Jerry Mazzanti,DE,Arkansas
1963,NYJ,Joe Baughan,T,Auburn
1963,BUF,Ron Carlson,E,Wisconsin
1963,DEN,Forest Farmer,LB,Purdue
1963,HOU,Gary Kaltenbach,T,Pittsburgh
1963,BOS,Dennis Gaubatz,LB,LSU
1963,KAN,John Hughes,G,SMU
1963,OAK,Dennis Claridge,QB,Nebraska
1963,SDG,Ken Dill,C,Mississippi
1963,NYJ,Terry Monaghan,T,Penn St.
1963,BUF,Willis Crenshaw,RB,Kansas St.
1963,DEN,Monte Day,T,Fresno St.
1963,BOS,Jim Tullis,HB,Florida A&M
1963,HOU,Dave Theisen,HB,Nebraska
1963,KAN,Tumley Todd,C,Virginia
1963,OAK,Dick Skelly,HB,Florida
1963,SDG,Harry Butsko,LB,Maryland
1963,NYJ,Dave Herman,G,Michigan St.
1963,BUF,Dick Quast,G,Memphis
1963,DEN,John Sellers,T,Bakersfield JC
1963,HOU,Al Hildebrand,T,Stanford
1963,BOS,Dave Adams,T,Arkansas
1963,KAN,Billy Clay,E,Arkansas
1963,OAK,Larry Campbell,FB,Utah St.
1963,SDG,Steve Berzansky,FB,West Virginia
1963,NYJ,Mike Taliaferro,QB,Illinois
1963,BUF,Leon Mavity,HB,Colorado
1963,DEN,Bill Reddell,HB,Occidental
1963,BOS,Ron Whaley,HB,Chattanooga
1963,HOU,Tim Stein,C,Miami (OH)
1963,KAN,Gordon Scarborough,E,East Texas A&M
1963,OAK,Dick Anderson,E,Penn St.
1963,SDG,Herman Hamp,HB,Fresno St.
1963,NYJ,Paul Wicker,T,Fresno St.
1963,BUF,Charlie Killett,HB,Memphis
1963,DEN,Kern Carson,HB,San Diego St.
1963,HOU,Oliver Ross,T,West Texas A&M
1963,BOS,Dick Kelly,G,Georgia
1963,KAN,John Sisk,DB,Miami (FL)
1964,BOS,Jack Concannon,QB,Boston Col.
1964,KAN,Pete Beathard,QB,USC
1964,NYJ,Matt Snell,RB,Ohio St.
1964,DEN,Bob Brown,DT,Ark-Pine Bluff
1964,BUF,Carl Eller,DE,Minnesota
1964,HOU,Scott Appleton,DT,Texas
1964,OAK,Tony Lorick,RB,Arizona St.
1964,SDG,Ted Davis,LB,Georgia Tech
1964,HOU,Charley Taylor,WR,Arizona St.
1964,KAN,Bill Martin,TE,Georgia Tech
1964,NYJ,Lloyd Voss,DE,Nebraska
1964,BUF,Dick Evey,DT,Tennessee
1964,BOS,Jim Kelly,TE,Notre Dame
1964,HOU,Billy Truax,TE,LSU
