# Raw game results, one row per game, 1869-2025 (season,date,team1,score1,team2,score2).
# NOT wired into the Blue Blood Rating. Kept for a future head-to-head / margins feature.
# MAJOR-vs-MAJOR ONLY: no FBS-vs-FCS / small-college games, so it undercounts every
# program (pre-1936 is <50% covered). Do not use it to rebuild _staging_wins.csv.
# When wiring it up, add these name aliases: Southern Methodist->SMU,
# Alabama-Birmingham->UAB, North Carolina-Charlotte->Charlotte (plus strip " (ST)"
# state suffixes and map " St."->" State"). More pre-1936 data to come.
season,date,team1,score1,team2,score2
1882,1882-10-21,Yale (CT),9,Rutgers (NJ),0
1882,1882-10-28,Pennsylvania,0,Princeton (NJ),8
1882,1882-10-28,Yale (CT),5,Rutgers (NJ),0
1882,1882-11-02,Amherst (MA),3,Massachusetts,1
1882,1882-11-04,Amherst (MA),0,Harvard (MA),1
1882,1882-11-04,Pennsylvania,1,Rutgers (NJ),3
1882,1882-11-07,Columbia (NY),0,Princeton (NJ),8
1882,1882-11-07,Lafayette (PA),0,Rutgers (NJ),8
1882,1882-11-08,Amherst (MA),0,Yale (CT),9
1882,1882-11-09,Columbia (NY),0,Rutgers (NJ),2
1882,1882-11-09,Dartmouth (NH),0,Harvard (MA),4
1882,1882-11-11,Columbia (NY),0,Harvard (MA),2
1882,1882-11-11,Lake Forest (IL),1,Northwestern (IL),0
1882,1882-11-11,Pennsylvania,0,Princeton (NJ),10
1882,1882-11-14,Princeton (NJ),3,Rutgers (NJ),0
1882,1882-11-18,Columbia (NY),0,Yale (CT),11
1882,1882-11-18,Harvard (MA),2,Princeton (NJ),1
1882,1882-11-18,Lake Forest (IL),0,Northwestern (IL),1
1882,1882-11-18,Pennsylvania,0,Rutgers (NJ),1
1882,1882-11-24,Rutgers (NJ),2,Stevens Tech (NJ),0
1882,1882-11-25,Columbia (NY),0,Princeton (NJ),3
1882,1882-11-25,Harvard (MA),0,Yale (CT),1
1882,1882-11-25,Lafayette (PA),0,Pennsylvania,1
1882,1882-11-30,Johns Hopkins (MD),0,Navy (MD),2
1882,1882-11-30,Princeton (NJ),1,Yale (CT),2
1883,1883-08-25,Lincoln (PA),0,Howard (DC),3
1883,1883-10-06,Yale (CT),59,Stevens Tech (NJ),0
1883,1883-10-13,Harvard (MA),4,Pennsylvania,0
1883,1883-10-17,Princeton (NJ),20,Rutgers (NJ),0
1883,1883-10-20,Harvard (MA),14,Stevens Tech (NJ),4
1883,1883-10-20,Johns Hopkins (MD),6,Pennsylvania,26
1883,1883-10-22,Lafayette (PA),7,Princeton (NJ),54
1883,1883-10-24,Princeton (NJ),14,Stevens Tech (NJ),0
1883,1883-10-27,Columbia (NY),0,Stevens Tech (NJ),19
1883,1883-10-27,Lafayette (PA),4,Pennsylvania,44
1883,1883-10-27,Princeton (NJ),61,Rutgers (NJ),0
1883,1883-11-03,Lafayette (PA),4,Stevens Tech (NJ),14
1883,1883-11-03,Pennsylvania,6,Princeton (NJ),39
1883,1883-11-06,Harvard (MA),11,Stevens Tech (NJ),2
1883,1883-11-06,Yale (CT),92,Rutgers (NJ),0
1883,1883-11-10,Johns Hopkins (MD),0,Pennsylvania,30
