# Raw game results, one row per game, 1869-2025 (season,date,team1,score1,team2,score2).
# NOT wired into the Blue Blood Rating. Kept for a future head-to-head / margins feature.
# MAJOR-vs-MAJOR ONLY: no FBS-vs-FCS / small-college games, so it undercounts every
# program (pre-1936 is <50% covered). Do not use it to rebuild _staging_wins.csv.
# When wiring it up, add these name aliases: Southern Methodist->SMU,
# Alabama-Birmingham->UAB, North Carolina-Charlotte->Charlotte (plus strip " (ST)"
# state suffixes and map " St."->" State"). More pre-1936 data to come.
season,date,team1,score1,team2,score2
1956,1956-11-10,Harvard (MA),20,Princeton (NJ),35
1956,1956-11-10,Holy Cross (MA),20,Syracuse (NY),41
1956,1956-11-10,Houston (TX),14,Tulsa (OK),0
1956,1956-11-10,Idaho,42,Utah St.,20
1956,1956-11-10,Illinois,7,Michigan,17
1956,1956-11-10,Indiana,14,Ohio St.,35
1956,1956-11-10,Iowa St.,0,Oklahoma,44
1956,1956-11-10,Iowa,7,Minnesota,0
1956,1956-11-10,Kansas St.,41,Marquette (WI),14
1956,1956-11-10,Kansas,20,Nebraska,26
1956,1956-11-10,Kentucky,7,Vanderbilt (TN),6
1956,1956-11-10,Louisiana St.,13,Oklahoma St.,0
1956,1956-11-10,Michigan St.,12,Purdue (IN),9
1956,1956-11-10,Montana,13,Wyoming,34
1956,1956-11-10,North Carolina St.,14,South Carolina,7
1956,1956-11-10,North Carolina,21,Virginia,7
1956,1956-11-10,Northwestern (IL),17,Wisconsin,7
1956,1956-11-10,Notre Dame (IN),13,Pittsburgh (PA),26
1956,1956-11-10,Oregon St.,20,Stanford (CA),19
1956,1956-11-10,Oregon,7,Washington St.,7
1956,1956-11-10,Penn St.,40,Boston (MA),7
1956,1956-11-10,Pennsylvania,7,Yale (CT),40
1956,1956-11-10,San Jose St. (CA),7,Pacific (CA),34
1956,1956-11-10,Southern Methodist (TX),7,Texas A&M,33
1956,1956-11-10,Texas Christian,7,Texas Tech,21
1956,1956-11-10,UCLA,13,Washington,9
1956,1956-11-10,Virginia Military Institute,6,West Virginia,13
1956,1956-11-10,Virginia Tech,13,Wake Forest (NC),13
1956,1956-11-10,William & Mary (VA),6,Army (NY),34
1956,1956-11-16,Clemson (SC),0,Miami (FL),21
1956,1956-11-17,Alabama,0,Georgia Tech,27
1956,1956-11-17,Arizona,0,Arizona St.,20
1956,1956-11-17,Arkansas,27,Southern Methodist (TX),13
1956,1956-11-17,Army (NY),7,Pittsburgh (PA),20
1956,1956-11-17,Auburn (AL),20,Georgia,0
1956,1956-11-17,Baylor (TX),26,Nebraska,7
1956,1956-11-17,Boston College (MA),13,Boston (MA),0
1956,1956-11-17,Brigham Young (UT),6,Wyoming,7
1956,1956-11-17,Brown (RI),21,Harvard (MA),12
1956,1956-11-17,California,13,Washington St.,14
1956,1956-11-17,Colgate (NY),7,Syracuse (NY),61
1956,1956-11-17,Colorado St.,13,Denver (CO),39
1956,1956-11-17,Colorado,21,Utah,7
1956,1956-11-17,Columbia (NY),6,Pennsylvania,20
1956,1956-11-17,Cornell (NY),14,Dartmouth (NH),27
1956,1956-11-17,Dayton (OH),6,Wichita St. (KS),14
1956,1956-11-17,Duke (NC),26,Wake Forest (NC),0
1956,1956-11-17,Furman (SC),0,West Virginia,7
1956,1956-11-17,Idaho,10,Oregon St.,14
1956,1956-11-17,Illinois,13,Wisconsin,13
1956,1956-11-17,Indiana,26,Michigan,49
1956,1956-11-17,Iowa St.,6,Kansas St.,32
1956,1956-11-17,Iowa,6,Ohio St.,0
1956,1956-11-17,Kansas,0,UCLA,13
1956,1956-11-17,Louisiana St.,13,Mississippi St.,32
1956,1956-11-17,Maryland,0,South Carolina,13
1956,1956-11-17,Michigan St.,13,Minnesota,14
1956,1956-11-17,Mississippi,7,Tennessee,27
1956,1956-11-17,Missouri,14,Oklahoma,67
1956,1956-11-17,Montana,13,New Mexico,14
1956,1956-11-17,Navy (MD),34,Virginia,7
1956,1956-11-17,North Carolina St.,7,Penn St.,14
1956,1956-11-17,North Carolina,14,Notre Dame (IN),21
1956,1956-11-17,Northwestern (IL),14,Purdue (IN),0
1956,1956-11-17,Oklahoma St.,25,Detroit (MI),7
1956,1956-11-17,Oregon,7,Southern California,0
1956,1956-11-17,Princeton (NJ),20,Yale (CT),42
1956,1956-11-17,Rice (TX),7,Texas A&M,21
1956,1956-11-17,Stanford (CA),13,Washington,34
1956,1956-11-17,Texas Tech,7,Tulsa (OK),10
1956,1956-11-17,Texas,0,Texas Christian,46
1956,1956-11-17,Tulane (LA),13,Vanderbilt (TN),6
1956,1956-11-17,Villanova (PA),13,Houston (TX),26
1956,1956-11-17,William & Mary (VA),6,Rutgers (NJ),20
1956,1956-11-18,Holy Cross (MA),41,Marquette (WI),0
1956,1956-11-22,Cornell (NY),20,Pennsylvania,7
1956,1956-11-22,Maryland,25,North Carolina St.,14
1956,1956-11-22,Richmond (VA),6,William & Mary (VA),0
1956,1956-11-22,South Carolina,13,Wake Forest (NC),0
1956,1956-11-22,Utah,29,Utah St.,7
1956,1956-11-22,Virginia Military Institute,0,Virginia Tech,45
1956,1956-11-23,Miami (FL),18,West Virginia,0
1956,1956-11-24,Arizona St.,19,Pacific (CA),6
1956,1956-11-24,Arizona,7,Colorado,38
1956,1956-11-24,Arkansas,7,Louisiana St.,21
1956,1956-11-24,Auburn (AL),13,Florida St.,7
1956,1956-11-24,Baylor (TX),26,Southern Methodist (TX),0
1956,1956-11-24,Brown (RI),20,Colgate (NY),0
1956,1956-11-24,California,20,Stanford (CA),18
1956,1956-11-24,Clemson (SC),7,Virginia,0
1956,1956-11-24,Columbia (NY),18,Rutgers (NJ),12
1956,1956-11-24,Dartmouth (NH),19,Princeton (NJ),0
1956,1956-11-24,Dayton (OH),27,Detroit (MI),13
1956,1956-11-24,Duke (NC),21,North Carolina,6
1956,1956-11-24,Florida,0,Georgia Tech,28
1956,1956-11-24,Harvard (MA),14,Yale (CT),42
1956,1956-11-24,Houston (TX),20,Texas Tech,7
1956,1956-11-24,Illinois,13,Northwestern (IL),14
1956,1956-11-24,Indiana,20,Purdue (IN),39
1956,1956-11-24,Iowa,48,Notre Dame (IN),8
1956,1956-11-24,Kansas St.,17,Michigan St.,38
1956,1956-11-24,Kentucky,7,Tennessee,20
1956,1956-11-24,Michigan,19,Ohio St.,0
1956,1956-11-24,Minnesota,13,Wisconsin,13
1956,1956-11-24,Montana,0,Idaho,41
1956,1956-11-24,Nebraska,6,Oklahoma,54
1956,1956-11-24,Oregon,14,Oregon St.,14
1956,1956-11-24,Penn St.,7,Pittsburgh (PA),7
1956,1956-11-24,Rice (TX),17,Texas Christian,20
1956,1956-11-24,Southern California,10,UCLA,7
1956,1956-11-24,Tulsa (OK),14,Wichita St. (KS),6
1956,1956-11-24,Villanova (PA),26,Iowa St.,0
1956,1956-11-24,Washington,40,Washington St.,26
1956,1956-11-29,Texas,21,Texas A&M,34
1956,1956-12-01,Alabama,7,Auburn (AL),34
1956,1956-12-01,Army (NY),7,Navy (MD),7
1956,1956-12-01,Baylor (TX),46,Rice (TX),13
1956,1956-12-01,Colorado St.,28,New Mexico,27
1956,1956-12-01,Florida,7,Miami (FL),20
1956,1956-12-01,Furman (SC),7,Clemson (SC),28
1956,1956-12-01,Georgia,0,Georgia Tech,35
1956,1956-12-01,Holy Cross (MA),7,Boston College (MA),0
1956,1956-12-01,Houston (TX),39,Detroit (MI),7
1956,1956-12-01,Kansas,13,Missouri,15
1956,1956-12-01,Louisiana St.,7,Tulane (LA),6
1956,1956-12-01,Mississippi,13,Mississippi St.,7
1956,1956-12-01,Notre Dame (IN),20,Southern California,28
1956,1956-12-01,Oklahoma,53,Oklahoma St.,0
1956,1956-12-01,Southern Methodist (TX),6,Texas Christian,21
1956,1956-12-01,Tennessee,27,Vanderbilt (TN),7
1956,1956-12-08,Miami (FL),7,Pittsburgh (PA),14
1956,1956-12-29,Georgia Tech,21,Pittsburgh (PA),14
1956,1957-01-01,Baylor (TX),13,Tennessee,7
1956,1957-01-01,Clemson (SC),21,Colorado,27
1956,1957-01-01,Iowa,35,Oregon St.,19
1956,1957-01-01,Syracuse (NY),27,Texas Christian,28
1956,1957-01-01,Texas-El Paso,0,George Washington (DC),13
1957,1957-09-20,Air Force (CO),0,UCLA,47
1957,1957-09-20,Tulane (LA),13,Virginia Tech,14
1957,1957-09-21,Arizona St.,28,Wichita St. (KS),0
1957,1957-09-21,Arizona,14,Brigham Young (UT),14
1957,1957-09-21,Arkansas,12,Oklahoma St.,0
1957,1957-09-21,Boston College (MA),6,Navy (MD),46
1957,1957-09-21,California,6,Southern Methodist (TX),13
1957,1957-09-21,Colorado,6,Washington,6
1957,1957-09-21,Dayton (OH),13,Cincinnati (OH),13
1957,1957-09-21,Detroit (MI),14,Marquette (WI),0
1957,1957-09-21,Duke (NC),26,South Carolina,14
1957,1957-09-21,Furman (SC),7,Florida St.,27
1957,1957-09-21,Georgia Tech,13,Kentucky,0
1957,1957-09-21,Georgia,7,Texas,26
1957,1957-09-21,Houston (TX),7,Miami (FL),0
1957,1957-09-21,Idaho,6,Oregon,9
1957,1957-09-21,Iowa St.,10,Denver (CO),0
1957,1957-09-21,Kansas St.,7,Wyoming,12
1957,1957-09-21,Kansas,13,Texas Christian,13
1957,1957-09-21,Louisiana St.,14,Rice (TX),20
1957,1957-09-21,Maryland,13,Texas A&M,21
1957,1957-09-21,Missouri,7,Vanderbilt (TN),7
1957,1957-09-21,Montana,13,Utah,32
1957,1957-09-21,Nebraska,12,Washington St.,34
1957,1957-09-21,North Carolina,0,North Carolina St.,7
1957,1957-09-21,North Texas,13,Texas-El Paso,14
1957,1957-09-21,Oklahoma,26,Pittsburgh (PA),0
1957,1957-09-21,Oregon St.,20,Southern California,0
1957,1957-09-21,San Jose St. (CA),7,Stanford (CA),46
1957,1957-09-21,Villanova (PA),0,Baylor (TX),7
1957,1957-09-21,Virginia,6,West Virginia,6
1957,1957-09-21,William & Mary (VA),0,George Washington (DC),7
1957,1957-09-27,Illinois,6,UCLA,16
1957,1957-09-27,San Jose St. (CA),27,Denver (CO),20
1957,1957-09-28,Alabama,0,Louisiana St.,28
1957,1957-09-28,Arizona St.,19,Idaho,7
1957,1957-09-28,Arizona,13,Missouri,35
1957,1957-09-28,Arkansas,41,Tulsa (OK),14
1957,1957-09-28,Army (NY),42,Nebraska,0
1957,1957-09-28,Auburn (AL),7,Tennessee,0
1957,1957-09-28,Baylor (TX),14,Houston (TX),6
1957,1957-09-28,Boston College (MA),20,Florida St.,7
1957,1957-09-28,Brigham Young (UT),7,Kansas St.,36
1957,1957-09-28,Brown (RI),20,Columbia (NY),23
1957,1957-09-28,California,7,Washington St.,13
1957,1957-09-28,Cincinnati (OH),19,Wichita St. (KS),13
1957,1957-09-28,Clemson (SC),0,North Carolina,26
1957,1957-09-28,Colgate (NY),14,Cornell (NY),13
1957,1957-09-28,Colorado St.,7,New Mexico,30
1957,1957-09-28,Colorado,30,Utah,24
1957,1957-09-28,Dayton (OH),12,Richmond (VA),7
1957,1957-09-28,Duke (NC),40,Virginia,0
1957,1957-09-28,Florida,27,Wake Forest (NC),0
1957,1957-09-28,Furman (SC),0,Villanova (PA),20
1957,1957-09-28,Georgia Tech,0,Southern Methodist (TX),0
1957,1957-09-28,Georgia,6,Vanderbilt (TN),9
1957,1957-09-28,Holy Cross (MA),21,Virginia Military Institute,21
1957,1957-09-28,Indiana,0,Michigan St.,54
1957,1957-09-28,Iowa St.,7,Syracuse (NY),7
1957,1957-09-28,Iowa,70,Utah St.,14
1957,1957-09-28,Kansas,6,Oregon St.,34
1957,1957-09-28,Kentucky,0,Mississippi,15
1957,1957-09-28,Maryland,13,North Carolina St.,48
1957,1957-09-28,Michigan,16,Southern California,6
1957,1957-09-28,Minnesota,46,Washington,7
1957,1957-09-28,Montana,0,Wyoming,20
1957,1957-09-28,North Texas,19,Oklahoma St.,25
1957,1957-09-28,Northwestern (IL),6,Stanford (CA),26
1957,1957-09-28,Notre Dame (IN),12,Purdue (IN),0
1957,1957-09-28,Ohio St.,14,Texas Christian,18
1957,1957-09-28,Oregon,3,Pittsburgh (PA),6
1957,1957-09-28,Pennsylvania,14,Penn St.,19
1957,1957-09-28,Princeton (NJ),7,Rutgers (NJ),0
1957,1957-09-28,Texas A&M,21,Texas Tech,0
1957,1957-09-28,Texas,20,Tulane (LA),6
1957,1957-09-28,Virginia Tech,0,West Virginia,14
1957,1957-09-28,William & Mary (VA),6,Navy (MD),33
1957,1957-09-28,Wisconsin,60,Marquette (WI),6
1957,1957-10-04,Montana,7,Brigham Young (UT),20
1957,1957-10-04,Pittsburgh (PA),20,Southern California,14
1957,1957-10-05,Air Force (CO),19,Detroit (MI),12
1957,1957-10-05,Alabama,6,Vanderbilt (TN),6
1957,1957-10-05,Arizona St.,44,San Jose St. (CA),6
1957,1957-10-05,Arkansas,20,Texas Christian,7
1957,1957-10-05,Army (NY),27,Penn St.,13
1957,1957-10-05,Baylor (TX),7,Miami (FL),13
1957,1957-10-05,Brown (RI),21,Yale (CT),20
1957,1957-10-05,California,0,Michigan St.,19
1957,1957-10-05,Cincinnati (OH),0,Houston (TX),7
1957,1957-10-05,Clemson (SC),7,North Carolina St.,13
1957,1957-10-05,Colgate (NY),0,Illinois,40
1957,1957-10-05,Colorado St.,27,Denver (CO),6
1957,1957-10-05,Colorado,34,Kansas,35
1957,1957-10-05,Columbia (NY),6,Princeton (NJ),47
1957,1957-10-05,Cornell (NY),20,Harvard (MA),6
1957,1957-10-05,Dartmouth (NH),6,Pennsylvania,3
1957,1957-10-05,Dayton (OH),6,Holy Cross (MA),32
1957,1957-10-05,Drake (IA),19,North Texas,6
1957,1957-10-05,Duke (NC),14,Maryland,0
1957,1957-10-05,Florida,14,Kentucky,7
1957,1957-10-05,Furman (SC),13,George Washington (DC),12
1957,1957-10-05,Georgia,0,Michigan,26
1957,1957-10-05,Idaho,21,Utah,6
1957,1957-10-05,Indiana,0,Notre Dame (IN),26
1957,1957-10-05,Iowa St.,14,Oklahoma,40
1957,1957-10-05,Iowa,20,Washington St.,13
1957,1957-10-05,Kansas St.,7,Nebraska,14
1957,1957-10-05,Louisiana St.,19,Texas Tech,14
1957,1957-10-05,Minnesota,21,Purdue (IN),17
1957,1957-10-05,Mississippi St.,9,Tennessee,14
1957,1957-10-05,Missouri,0,Texas A&M,28
1957,1957-10-05,Navy (MD),7,North Carolina,13
1957,1957-10-05,New Mexico,13,Texas-El Paso,15
1957,1957-10-05,Northwestern (IL),13,Oregon St.,22
1957,1957-10-05,Ohio St.,35,Washington,7
1957,1957-10-05,Oklahoma St.,26,Wichita St. (KS),0
1957,1957-10-05,Oregon,21,UCLA,0
1957,1957-10-05,Rice (TX),34,Stanford (CA),7
1957,1957-10-05,Richmond (VA),6,Virginia Military Institute,28
1957,1957-10-05,South Carolina,27,Texas,21
1957,1957-10-05,Syracuse (NY),27,Boston (MA),20
1957,1957-10-05,Tulane (LA),20,Marquette (WI),6
1957,1957-10-05,Tulsa (OK),13,Pacific (CA),21
1957,1957-10-05,Utah St.,19,Wyoming,19
1957,1957-10-05,Villanova (PA),21,Florida St.,7
1957,1957-10-05,Virginia,28,Wake Forest (NC),20
1957,1957-10-05,West Virginia,13,Wisconsin,45
1957,1957-10-05,William & Mary (VA),13,Virginia Tech,7
1957,1957-10-11,Air Force (CO),0,George Washington (DC),20
1957,1957-10-11,Georgia,13,Tulane (LA),6
1957,1957-10-11,Miami (FL),13,North Carolina,20
1957,1957-10-11,Missouri,7,Southern Methodist (TX),6
1957,1957-10-12,Alabama,0,Texas Christian,28
1957,1957-10-12,Arizona,14,Colorado,34
1957,1957-10-12,Arkansas,20,Baylor (TX),17
1957,1957-10-12,Army (NY),21,Notre Dame (IN),23
1957,1957-10-12,Auburn (AL),6,Kentucky,0
1957,1957-10-12,Brigham Young (UT),0,Utah,27
1957,1957-10-12,Brown (RI),0,Dartmouth (NH),35
1957,1957-10-12,California,6,Navy (MD),21
1957,1957-10-12,Clemson (SC),20,Virginia,6
1957,1957-10-12,Colgate (NY),6,Rutgers (NJ),48
1957,1957-10-12,Colorado St.,13,Wyoming,27
1957,1957-10-12,Columbia (NY),0,Yale (CT),19
1957,1957-10-12,Cornell (NY),0,Syracuse (NY),34
1957,1957-10-12,Dayton (OH),14,Boston College (MA),41
1957,1957-10-12,Detroit (MI),28,Wichita St. (KS),0
1957,1957-10-12,Duke (NC),7,Rice (TX),6
1957,1957-10-12,Florida St.,0,North Carolina St.,7
1957,1957-10-12,Furman (SC),13,South Carolina,58
1957,1957-10-12,Georgia Tech,13,Louisiana St.,20
1957,1957-10-12,Holy Cross (MA),26,Marquette (WI),7
1957,1957-10-12,Houston (TX),6,Texas A&M,28
1957,1957-10-12,Idaho,0,Oregon St.,20
1957,1957-10-12,Illinois,7,Ohio St.,21
1957,1957-10-12,Indiana,7,Iowa,47
1957,1957-10-12,Iowa St.,21,Kansas,6
1957,1957-10-12,Kansas St.,7,Pacific (CA),7
1957,1957-10-12,Maryland,27,Wake Forest (NC),0
1957,1957-10-12,Michigan,6,Michigan St.,35
1957,1957-10-12,Minnesota,41,Northwestern (IL),6
1957,1957-10-12,Mississippi,28,Vanderbilt (TN),0
1957,1957-10-12,Montana,13,Denver (CO),26
1957,1957-10-12,Nebraska,0,Pittsburgh (PA),34
1957,1957-10-12,New Mexico,14,Utah St.,10
1957,1957-10-12,Oklahoma St.,28,Tulsa (OK),13
1957,1957-10-12,Oklahoma,21,Texas,7
1957,1957-10-12,Oregon,26,San Jose St. (CA),0
1957,1957-10-12,Pennsylvania,9,Princeton (NJ),13
1957,1957-10-12,Purdue (IN),14,Wisconsin,23
1957,1957-10-12,Stanford (CA),18,Washington St.,21
1957,1957-10-12,Texas Tech,14,Texas-El Paso,26
1957,1957-10-12,UCLA,19,Washington,0
1957,1957-10-12,Villanova (PA),14,Virginia Tech,21
1957,1957-10-12,West Virginia,46,Boston (MA),6
1957,1957-10-12,William & Mary (VA),13,Penn St.,21
1957,1957-10-18,Miami (FL),0,North Carolina St.,0
1957,1957-10-18,Mississippi,50,Tulane (LA),0
1957,1957-10-18,West Virginia,34,George Washington (DC),14
1957,1957-10-19,Alabama,0,Tennessee,14
1957,1957-10-19,Arizona,0,New Mexico,27
1957,1957-10-19,Arkansas,0,Texas,17
1957,1957-10-19,Army (NY),29,Pittsburgh (PA),13
1957,1957-10-19,Auburn (AL),3,Georgia Tech,0
1957,1957-10-19,Baylor (TX),15,Texas Tech,12
1957,1957-10-19,Brigham Young (UT),0,Wyoming,0
1957,1957-10-19,Brown (RI),20,Pennsylvania,7
1957,1957-10-19,California,12,Southern California,0
1957,1957-10-19,Cincinnati (OH),14,Marquette (WI),0
1957,1957-10-19,Colgate (NY),12,Princeton (NJ),10
1957,1957-10-19,Colorado,42,Kansas St.,14
1957,1957-10-19,Columbia (NY),6,Harvard (MA),19
1957,1957-10-19,Cornell (NY),7,Yale (CT),18
1957,1957-10-19,Dartmouth (NH),14,Holy Cross (MA),7
1957,1957-10-19,Duke (NC),34,Wake Forest (NC),7
1957,1957-10-19,Florida,20,Mississippi St.,29
1957,1957-10-19,Georgia,14,Navy (MD),27
1957,1957-10-19,Houston (TX),6,Oklahoma St.,6
1957,1957-10-19,Idaho,7,Pacific (CA),7
1957,1957-10-19,Illinois,34,Minnesota,13
1957,1957-10-19,Indiana,0,Ohio St.,56
1957,1957-10-19,Iowa St.,13,Missouri,35
1957,1957-10-19,Iowa,21,Wisconsin,7
1957,1957-10-19,Kansas,0,Oklahoma,47
1957,1957-10-19,Kentucky,0,Louisiana St.,21
1957,1957-10-19,Maryland,21,North Carolina,7
1957,1957-10-19,Michigan St.,13,Purdue (IN),20
1957,1957-10-19,Michigan,34,Northwestern (IL),14
1957,1957-10-19,Montana,35,Utah St.,25
1957,1957-10-19,Nebraska,9,Syracuse (NY),26
1957,1957-10-19,North Texas,14,Tulsa (OK),12
1957,1957-10-19,Oregon St.,7,UCLA,26
1957,1957-10-19,Oregon,14,Washington St.,13
1957,1957-10-19,Penn St.,20,Vanderbilt (TN),32
1957,1957-10-19,Rice (TX),27,Southern Methodist (TX),21
1957,1957-10-19,Stanford (CA),21,Washington,14
1957,1957-10-19,Texas A&M,7,Texas Christian,0
1957,1957-10-19,Utah,7,Denver (CO),12
1957,1957-10-19,Villanova (PA),9,Boston College (MA),12
1957,1957-10-19,Virginia Military Institute,14,William & Mary (VA),13
1957,1957-10-19,Virginia,38,Virginia Tech,7
1957,1957-10-24,Clemson (SC),13,South Carolina,0
1957,1957-10-25,Kansas,6,Miami (FL),48
1957,1957-10-26,Air Force (CO),7,Tulsa (OK),12
1957,1957-10-26,Alabama,13,Mississippi St.,25
1957,1957-10-26,Arizona,6,Texas Tech,28
1957,1957-10-26,Arkansas,12,Mississippi,6
1957,1957-10-26,Army (NY),20,Virginia,12
1957,1957-10-26,Auburn (AL),48,Houston (TX),7
1957,1957-10-26,Baylor (TX),0,Texas A&M,14
1957,1957-10-26,Boston College (MA),20,Detroit (MI),16
1957,1957-10-26,Brigham Young (UT),25,Denver (CO),6
1957,1957-10-26,California,6,Oregon,24
1957,1957-10-26,Cincinnati (OH),7,Pacific (CA),2
1957,1957-10-26,Colgate (NY),0,Yale (CT),20
1957,1957-10-26,Colorado St.,14,Utah St.,27
1957,1957-10-26,Colorado,13,Oklahoma,14
1957,1957-10-26,Cornell (NY),14,Princeton (NJ),47
1957,1957-10-26,Dartmouth (NH),26,Harvard (MA),0
1957,1957-10-26,Duke (NC),14,North Carolina St.,14
1957,1957-10-26,Florida St.,20,Virginia Tech,7
1957,1957-10-26,Florida,22,Louisiana St.,14
1957,1957-10-26,Georgia Tech,20,Tulane (LA),13
1957,1957-10-26,Georgia,33,Kentucky,14
1957,1957-10-26,Holy Cross (MA),28,Boston (MA),35
1957,1957-10-26,Illinois,14,Michigan St.,19
1957,1957-10-26,Iowa St.,10,Kansas St.,14
1957,1957-10-26,Iowa,6,Northwestern (IL),0
1957,1957-10-26,Maryland,0,Tennessee,16
1957,1957-10-26,Michigan,24,Minnesota,7
1957,1957-10-26,Missouri,14,Nebraska,13
1957,1957-10-26,Montana,21,New Mexico,6
1957,1957-10-26,North Carolina,14,Wake Forest (NC),7
1957,1957-10-26,North Texas,12,San Jose St. (CA),6
1957,1957-10-26,Notre Dame (IN),13,Pittsburgh (PA),7
1957,1957-10-26,Ohio St.,16,Wisconsin,13
1957,1957-10-26,Oregon St.,6,Washington,19
1957,1957-10-26,Penn St.,20,Syracuse (NY),12
1957,1957-10-26,Pennsylvania,7,Navy (MD),35
1957,1957-10-26,Rice (TX),14,Texas,19
1957,1957-10-26,Richmond (VA),13,Rutgers (NJ),26
1957,1957-10-26,Southern California,12,Washington St.,13
1957,1957-10-26,Stanford (CA),20,UCLA,6
1957,1957-10-26,Texas Christian,26,Marquette (WI),7
1957,1957-10-26,Utah,23,Wyoming,15
1957,1957-10-26,Villanova (PA),7,Indiana,14
1957,1957-10-26,Virginia Military Institute,26,George Washington (DC),20
1957,1957-10-26,William & Mary (VA),0,West Virginia,19
1957,1957-11-01,Boston (MA),7,George Washington (DC),0
1957,1957-11-01,Villanova (PA),7,Miami (FL),13
1957,1957-11-02,Air Force (CO),7,Wyoming,7
1957,1957-11-02,Alabama,14,Georgia,13
1957,1957-11-02,Arkansas,6,Texas A&M,7
1957,1957-11-02,Auburn (AL),13,Florida,0
1957,1957-11-02,Baylor (TX),6,Texas Christian,19
1957,1957-11-02,Brigham Young (UT),14,Utah St.,0
1957,1957-11-02,Brown (RI),0,Princeton (NJ),7
1957,1957-11-02,California,14,UCLA,16
1957,1957-11-02,Cincinnati (OH),12,Detroit (MI),20
1957,1957-11-02,Clemson (SC),20,Rice (TX),7
1957,1957-11-02,Colgate (NY),7,Army (NY),53
1957,1957-11-02,Colorado,6,Missouri,9
1957,1957-11-02,Columbia (NY),0,Cornell (NY),8
1957,1957-11-02,Dartmouth (NH),14,Yale (CT),14
1957,1957-11-02,Dayton (OH),40,Wichita St. (KS),13
1957,1957-11-02,Drake (IA),20,Iowa St.,0
1957,1957-11-02,Duke (NC),0,Georgia Tech,13
1957,1957-11-02,Harvard (MA),13,Pennsylvania,6
1957,1957-11-02,Houston (TX),7,Mississippi,20
1957,1957-11-02,Illinois,6,Purdue (IN),21
1957,1957-11-02,Indiana,0,Minnesota,34
1957,1957-11-02,Iowa,21,Michigan,21
1957,1957-11-02,Kansas St.,0,Oklahoma,13
1957,1957-11-02,Kansas,14,Nebraska,12
1957,1957-11-02,Louisiana St.,0,Vanderbilt (TN),7
1957,1957-11-02,Marquette (WI),7,Pacific (CA),21
1957,1957-11-02,Maryland,10,South Carolina,6
1957,1957-11-02,Michigan St.,21,Wisconsin,7
1957,1957-11-02,Mississippi St.,27,Tulane (LA),6
1957,1957-11-02,Montana,13,Idaho,31
1957,1957-11-02,Navy (MD),20,Notre Dame (IN),6
1957,1957-11-02,New Mexico,0,Denver (CO),19
1957,1957-11-02,North Carolina St.,19,Wake Forest (NC),0
1957,1957-11-02,North Carolina,0,Tennessee,35
1957,1957-11-02,Northwestern (IL),6,Ohio St.,47
1957,1957-11-02,Oklahoma St.,13,Texas Tech,0
1957,1957-11-02,Oregon St.,39,Washington St.,25
1957,1957-11-02,Oregon,27,Stanford (CA),26
1957,1957-11-02,Penn St.,27,West Virginia,6
1957,1957-11-02,Pittsburgh (PA),21,Syracuse (NY),24
1957,1957-11-02,Richmond (VA),7,Virginia Tech,42
1957,1957-11-02,Southern California,19,Washington,12
1957,1957-11-02,Southern Methodist (TX),19,Texas,12
1957,1957-11-02,Virginia Military Institute,20,Virginia,7
1957,1957-11-03,Colorado St.,0,Utah,55
1957,1957-11-08,Florida St.,13,Miami (FL),40
1957,1957-11-09,Air Force (CO),14,Denver (CO),26
1957,1957-11-09,Alabama,0,Tulane (LA),7
1957,1957-11-09,Arizona St.,43,Texas-El Paso,7
1957,1957-11-09,Arkansas,7,Rice (TX),13
1957,1957-11-09,Army (NY),39,Utah,33
1957,1957-11-09,Auburn (AL),15,Mississippi St.,7
1957,1957-11-09,Baylor (TX),7,Texas,7
1957,1957-11-09,Boston College (MA),27,Boston (MA),2
1957,1957-11-09,Brown (RI),6,Cornell (NY),13
1957,1957-11-09,California,19,Oregon St.,21
1957,1957-11-09,Cincinnati (OH),21,Indiana,0
1957,1957-11-09,Clemson (SC),26,Maryland,7
1957,1957-11-09,Colorado,20,Colorado St.,0
1957,1957-11-09,Columbia (NY),0,Dartmouth (NH),7
1957,1957-11-09,Drake (IA),7,Wichita St. (KS),14
1957,1957-11-09,Duke (NC),6,Navy (MD),6
1957,1957-11-09,Florida,22,Georgia,0
1957,1957-11-09,Georgia Tech,6,Tennessee,21
1957,1957-11-09,Harvard (MA),20,Princeton (NJ),28
1957,1957-11-09,Holy Cross (MA),20,Syracuse (NY),19
1957,1957-11-09,Idaho,35,Utah St.,7
1957,1957-11-09,Illinois,20,Michigan,19
1957,1957-11-09,Iowa St.,13,Nebraska,0
1957,1957-11-09,Iowa,44,Minnesota,20
1957,1957-11-09,Kansas,13,Kansas St.,7
1957,1957-11-09,Kentucky,7,Vanderbilt (TN),12
1957,1957-11-09,Louisiana St.,12,Mississippi,14
1957,1957-11-09,Michigan St.,34,Notre Dame (IN),6
1957,1957-11-09,Missouri,14,Oklahoma,39
1957,1957-11-09,North Carolina,28,South Carolina,6
1957,1957-11-09,Northwestern (IL),12,Wisconsin,41
1957,1957-11-09,Ohio St.,20,Purdue (IN),7
1957,1957-11-09,Oklahoma St.,39,Wyoming,6
1957,1957-11-09,Oregon,6,Washington,13
1957,1957-11-09,Penn St.,20,Marquette (WI),7
1957,1957-11-09,Pennsylvania,33,Yale (CT),20
