# One (school, season) record. Hand-maintained — no automated process writes here.
#   source=history       per-season W-L-T. Covers 1936->present for every program,
#     plus 1869-1935 wherever game-level records survive (every game in which one
#     side is a current FBS program contributes a W / L / T; a tie for both sides
#     on equal scores). Sparse before ~1905, so those early totals sit below the book.
#   source=ncaa          one row (1935) per program in _staging_wins_ncaa.csv; sized so the
#     all-time OFFICIAL total (as-played minus wins_vacated) matches the NCAA "FBS
#     Records" book through its `through` year, with the live current season on top.
#   source=ncaa-history  per-season rows from a program's NCAA stats.org team
#     history page (stats.ncaa.org/teams/history), used where we hold no game-level
#     data and the program is not in the FBS Records book (Jacksonville St., Sam
#     Houston, Missouri St. — their full pre-2003 record).
#   source=manual        any hand rows.
# A tie counts as half a win in win %.
# wins_vacated / losses_vacated: NCAA-vacated results - removed only in the
#   "NCAA official" wins toggle; the trajectory and default view use as-played.
school,season,wins,losses,ties,wins_vacated,losses_vacated,vacated_note,source
# --- 6 programs added Aug 2026 (JMU, Jax State, Sam Houston, Kennesaw, Delaware, Missouri State) ---
# Per-season 2003-2025 rows; a few clearly-partial seasons hand-corrected (Jax State 2013, Sam Houston 2008 & 2022).
# The season=1935 row is a pre-2003 all-time LUMP (W-L-T) from published program records —
#   VERIFY against each media guide. Kennesaw State (football since 2015) needs no lump.
Appalachian State,1968,0,0,0,,,,history
Appalachian State,1969,0,0,0,,,,history
Appalachian State,1970,0,0,0,,,,history
Appalachian State,1971,1,0,1,,,,history
Appalachian State,1972,5,5,1,,,,history
Appalachian State,1973,3,7,1,,,,history
Appalachian State,1974,6,5,0,,,,history
Appalachian State,1975,8,3,0,,,,history
Appalachian State,1976,6,4,1,,,,history
Appalachian State,1977,2,9,0,,,,history
Appalachian State,1978,7,4,0,,,,history
Appalachian State,1979,3,8,0,,,,history
Appalachian State,1980,6,4,1,,,,history
Appalachian State,1981,3,7,1,,,,history
Appalachian State,1982,0,2,0,,,,history
Appalachian State,1983,1,1,0,,,,history
Appalachian State,1984,0,2,0,,,,history
Appalachian State,1985,0,2,0,,,,history
Appalachian State,1986,0,1,0,,,,history
Appalachian State,1987,0,2,0,,,,history
Appalachian State,1988,0,1,1,,,,history
Appalachian State,1989,1,0,0,,,,history
Appalachian State,1990,0,3,0,,,,history
Appalachian State,1991,1,1,0,,,,history
Appalachian State,1992,0,2,0,,,,history
Appalachian State,1993,0,1,0,,,,history
Appalachian State,1994,0,1,0,,,,history
Appalachian State,1995,1,0,0,,,,history
Appalachian State,1996,0,1,0,,,,history
Appalachian State,1997,0,1,0,,,,history
Appalachian State,1998,1,0,0,,,,history
Appalachian State,1999,0,1,0,,,,history
Appalachian State,2000,1,0,0,,,,history
Appalachian State,2001,0,1,0,,,,history
Appalachian State,2002,0,1,0,,,,history
Appalachian State,2003,7,4,0,,,,history
Appalachian State,2004,6,5,0,,,,history
Appalachian State,2005,10,3,0,,,,history
Appalachian State,2006,12,1,0,,,,history
Appalachian State,2007,11,2,0,,,,history
Appalachian State,2008,11,3,0,,,,history
Appalachian State,2009,11,2,0,,,,history
Appalachian State,2010,10,2,0,,,,history
Appalachian State,2011,8,4,0,,,,history
Appalachian State,2012,8,4,0,,,,history
Appalachian State,2013,4,8,0,,,,history
Appalachian State,2014,7,5,0,,,,history
Appalachian State,2015,11,2,0,,,,history
Appalachian State,2016,10,3,0,,,,history
Appalachian State,2017,9,4,0,,,,history
Appalachian State,2018,11,2,0,,,,history
Appalachian State,2019,13,1,0,,,,history
Appalachian State,2020,9,3,0,,,,history
Appalachian State,2021,10,4,0,,,,history
Appalachian State,2022,6,6,0,,,,history
Appalachian State,2023,9,5,0,,,,history
Appalachian State,2024,5,6,0,,,,history
Appalachian State,2025,5,8,0,,,,history
Arizona,1916,0,1,0,,,,history
Arizona,1921,0,2,0,,,,history
Arizona,1922,1,2,0,,,,history
Arizona,1923,0,1,0,,,,history
Arizona,1924,0,2,0,,,,history
Arizona,1925,0,3,0,,,,history
Arizona,1926,0,0,1,,,,history
Arizona,1928,0,1,1,,,,history
Arizona,1930,1,1,0,,,,history
Arizona,1931,3,5,1,,,,history
Arizona,1932,4,5,0,,,,history
Arizona,1933,5,3,0,,,,history
Arizona,1934,7,2,1,,,,history
Arizona,1935,7,2,0,,,,history
Arizona,1936,5,2,3,,,,history
Arizona,1937,8,2,0,,,,history
Arizona,1938,3,6,0,,,,history
Arizona,1939,6,4,0,,,,history
Arizona,1940,7,2,0,,,,history
Arizona,1941,7,3,0,,,,history
Arizona,1942,6,4,0,,,,history
Arizona,1945,0,0,0,,,,history
Arizona,1946,4,4,2,,,,history
Arizona,1947,5,4,1,,,,history
Arizona,1948,6,5,0,,,,history
Arizona,1949,2,7,1,,,,history
Arizona,1950,4,6,0,,,,history
Arizona,1951,6,5,0,,,,history
Arizona,1952,6,4,0,,,,history
Arizona,1953,4,5,1,,,,history
Arizona,1954,7,3,0,,,,history
Arizona,1955,5,4,1,,,,history
Arizona,1956,4,6,0,,,,history
Arizona,1957,1,8,1,,,,history
Arizona,1958,3,7,0,,,,history
Arizona,1959,4,6,0,,,,history
Arizona,1960,7,3,0,,,,history
Arizona,1961,8,1,1,,,,history
Arizona,1962,5,5,0,,,,history
Arizona,1963,5,5,0,,,,history
Arizona,1964,6,3,1,,,,history
Arizona,1965,3,7,0,,,,history
Arizona,1966,3,7,0,,,,history
Arizona,1967,3,6,1,,,,history
Arizona,1968,8,3,0,,,,history
Arizona,1969,3,7,0,,,,history
Arizona,1970,4,6,0,,,,history
Arizona,1971,5,6,0,,,,history
Arizona,1972,4,7,0,,,,history
Arizona,1973,8,3,0,,,,history
Arizona,1974,9,2,0,,,,history
Arizona,1975,9,2,0,,,,history
Arizona,1976,5,6,0,,,,history
Arizona,1977,5,7,0,,,,history
Arizona,1978,5,6,0,,,,history
Arizona,1979,6,5,1,,,,history
Arizona,1980,5,6,0,,,,history
Arizona,1981,6,5,0,,,,history
Arizona,1982,6,4,1,,,,history
Arizona,1983,7,3,1,,,,history
Arizona,1984,7,4,0,,,,history
Arizona,1985,8,3,1,,,,history
Arizona,1986,9,3,0,,,,history
Arizona,1987,4,4,3,,,,history
Arizona,1988,7,4,0,,,,history
Arizona,1989,8,4,0,,,,history
Arizona,1990,7,5,0,,,,history
Arizona,1991,4,7,0,,,,history
Arizona,1992,6,5,1,,,,history
Arizona,1993,10,2,0,,,,history
Arizona,1994,8,4,0,,,,history
Arizona,1995,6,5,0,,,,history
Arizona,1996,5,6,0,,,,history
Arizona,1997,7,5,0,,,,history
Arizona,1998,12,1,0,,,,history
Arizona,1999,6,6,0,,,,history
Arizona,2000,5,6,0,,,,history
Arizona,2001,5,6,0,,,,history
Arizona,2002,4,8,0,,,,history
Arizona,2003,2,10,0,,,,history
Arizona,2004,3,8,0,,,,history
Arizona,2005,3,8,0,,,,history
Arizona,2006,6,6,0,,,,history
Arizona,2007,5,7,0,,,,history
Arizona,2008,8,5,0,,,,history
Arizona,2009,8,5,0,,,,history
Arizona,2010,7,6,0,,,,history
Arizona,2011,4,8,0,,,,history
Arizona,2012,8,5,0,,,,history
Arizona,2013,8,5,0,,,,history
Arizona,2014,10,4,0,,,,history
Arizona,2015,7,6,0,,,,history
Arizona,2016,3,9,0,,,,history
Arizona,2017,7,6,0,,,,history
Arizona,2018,5,7,0,,,,history
Arizona,2019,4,8,0,,,,history
Arizona,2020,0,5,0,,,,history
Arizona,2021,1,11,0,,,,history
Arizona,2022,5,7,0,,,,history
Arizona,2023,10,3,0,,,,history
Arizona,2024,4,8,0,,,,history
Arizona,2025,9,4,0,,,,history
Arizona State,1935,65,61,9,,,,ncaa
Arizona State,1936,4,5,0,,,,history
Arizona State,1937,0,8,1,,,,history
Arizona State,1938,3,6,0,,,,history
Arizona State,1939,8,2,1,,,,history
Arizona State,1940,7,2,2,,,,history
Arizona State,1941,5,5,1,,,,history
Arizona State,1942,2,8,0,,,,history
Arizona State,1946,2,7,2,,,,history
Arizona State,1947,4,7,0,,,,history
Arizona State,1948,5,5,0,,,,history
Arizona State,1949,7,3,0,,,,history
Arizona State,1950,9,2,0,,,,history
Arizona State,1951,6,3,1,,,,history
Arizona State,1952,6,3,0,,,,history
Arizona State,1953,4,5,1,,,,history
Arizona State,1954,5,5,0,,,,history
Arizona State,1955,8,2,1,,,,history
Arizona State,1956,9,1,0,,,,history
Arizona State,1957,10,0,0,,,,history
Arizona State,1958,7,3,0,,,,history
Arizona State,1959,10,1,0,,,,history
Arizona State,1960,7,3,0,,,,history
Arizona State,1961,7,3,0,,,,history
Arizona State,1962,7,2,1,,,,history
Arizona State,1963,8,1,0,,,,history
Arizona State,1964,8,2,0,,,,history
Arizona State,1965,6,4,0,,,,history
Arizona State,1966,5,5,0,,,,history
Arizona State,1967,8,2,0,,,,history
Arizona State,1968,8,2,0,,,,history
Arizona State,1969,8,2,0,,,,history
Arizona State,1970,11,0,0,,,,history
Arizona State,1971,11,1,0,,,,history
Arizona State,1972,10,2,0,,,,history
Arizona State,1973,11,1,0,,,,history
Arizona State,1974,7,5,0,,,,history
Arizona State,1975,12,0,0,,,,history
