# One (school, season) record. Hand-maintained — no automated process writes here.
#   source=history       per-season W-L-T. Covers 1936->present for every program,
#     plus 1869-1935 wherever game-level records survive (every game in which one
#     side is a current FBS program contributes a W / L / T; a tie for both sides
#     on equal scores). Sparse before ~1905, so those early totals sit below the book.
#   source=ncaa          one row (1935) per program in _staging_wins_ncaa.csv; sized so the
#     all-time OFFICIAL total (as-played minus wins_vacated) matches the NCAA "FBS
#     Records" book through its `through` year, with the live current season on top.
#   source=ncaa-history  per-season rows from a program's NCAA stats.org team
#     history page (stats.ncaa.org/teams/history), used where we hold no game-level
#     data and the program is not in the FBS Records book (Jacksonville St., Sam
#     Houston, Missouri St. — their full pre-2003 record).
#   source=manual        any hand rows.
# A tie counts as half a win in win %.
# wins_vacated / losses_vacated: NCAA-vacated results - removed only in the
#   "NCAA official" wins toggle; the trajectory and default view use as-played.
school,season,wins,losses,ties,wins_vacated,losses_vacated,vacated_note,source
# --- 6 programs added Aug 2026 (JMU, Jax State, Sam Houston, Kennesaw, Delaware, Missouri State) ---
# Per-season 2003-2025 rows; a few clearly-partial seasons hand-corrected (Jax State 2013, Sam Houston 2008 & 2022).
# The season=1935 row is a pre-2003 all-time LUMP (W-L-T) from published program records —
#   VERIFY against each media guide. Kennesaw State (football since 2015) needs no lump.
Miami (FL),1998,9,3,0,,,,history
Miami (FL),1999,9,4,0,,,,history
Miami (FL),2000,11,1,0,,,,history
Miami (FL),2001,12,0,0,,,,history
Miami (FL),2002,12,1,0,,,,history
Miami (FL),2003,11,2,0,,,,history
Miami (FL),2004,9,3,0,,,,history
Miami (FL),2005,9,3,0,,,,history
Miami (FL),2006,7,6,0,,,,history
Miami (FL),2007,5,7,0,,,,history
Miami (FL),2008,7,6,0,,,,history
Miami (FL),2009,9,4,0,,,,history
Miami (FL),2010,7,6,0,,,,history
Miami (FL),2011,6,6,0,,,,history
Miami (FL),2012,7,5,0,,,,history
Miami (FL),2013,9,4,0,,,,history
Miami (FL),2014,6,7,0,,,,history
Miami (FL),2015,8,5,0,,,,history
Miami (FL),2016,9,4,0,,,,history
Miami (FL),2017,10,3,0,,,,history
Miami (FL),2018,7,6,0,,,,history
Miami (FL),2019,6,7,0,,,,history
Miami (FL),2020,8,3,0,,,,history
Miami (FL),2021,7,5,0,,,,history
Miami (FL),2022,5,7,0,,,,history
Miami (FL),2023,7,6,0,,,,history
Miami (FL),2024,10,3,0,,,,history
Miami (FL),2025,13,3,0,,,,history
Miami (OH),1904,0,2,0,,,,history
Miami (OH),1914,0,1,0,,,,history
Miami (OH),1915,0,1,0,,,,history
Miami (OH),1917,0,0,1,,,,history
Miami (OH),1920,1,0,0,,,,history
Miami (OH),1924,0,1,0,,,,history
Miami (OH),1925,0,1,0,,,,history
Miami (OH),1930,0,1,0,,,,history
Miami (OH),1931,0,1,0,,,,history
Miami (OH),1932,0,1,0,,,,history
Miami (OH),1933,0,1,0,,,,history
Miami (OH),1934,0,1,0,,,,history
Miami (OH),1936,0,0,0,,,,history
Miami (OH),1937,0,0,0,,,,history
Miami (OH),1938,0,0,0,,,,history
Miami (OH),1939,0,0,0,,,,history
Miami (OH),1940,0,0,0,,,,history
Miami (OH),1941,0,1,0,,,,history
Miami (OH),1942,0,1,0,,,,history
Miami (OH),1943,0,0,1,,,,history
Miami (OH),1944,0,0,0,,,,history
Miami (OH),1945,0,2,0,,,,history
Miami (OH),1946,0,2,0,,,,history
Miami (OH),1947,2,0,0,,,,history
Miami (OH),1948,1,0,1,,,,history
Miami (OH),1949,1,2,0,,,,history
Miami (OH),1950,2,0,0,,,,history
Miami (OH),1951,1,1,0,,,,history
Miami (OH),1952,2,0,0,,,,history
Miami (OH),1953,0,0,0,,,,history
Miami (OH),1954,3,0,0,,,,history
Miami (OH),1955,2,0,0,,,,history
Miami (OH),1956,2,1,0,,,,history
Miami (OH),1957,1,2,0,,,,history
Miami (OH),1958,1,2,0,,,,history
Miami (OH),1959,2,2,0,,,,history
Miami (OH),1960,3,2,0,,,,history
Miami (OH),1961,3,2,0,,,,history
Miami (OH),1962,8,2,1,,,,history
Miami (OH),1963,5,3,2,,,,history
Miami (OH),1964,6,3,1,,,,history
Miami (OH),1965,7,3,0,,,,history
Miami (OH),1966,9,1,0,,,,history
Miami (OH),1967,6,4,0,,,,history
Miami (OH),1968,7,3,0,,,,history
Miami (OH),1969,7,3,0,,,,history
Miami (OH),1970,7,3,0,,,,history
Miami (OH),1971,7,3,0,,,,history
Miami (OH),1972,7,3,0,,,,history
Miami (OH),1973,11,0,0,,,,history
Miami (OH),1974,10,0,1,,,,history
Miami (OH),1975,11,1,0,,,,history
Miami (OH),1976,3,8,0,,,,history
Miami (OH),1977,10,1,0,,,,history
Miami (OH),1978,8,2,1,,,,history
Miami (OH),1979,6,5,0,,,,history
Miami (OH),1980,5,6,0,,,,history
Miami (OH),1981,8,2,1,,,,history
Miami (OH),1982,7,4,0,,,,history
Miami (OH),1983,4,7,0,,,,history
Miami (OH),1984,4,7,0,,,,history
Miami (OH),1985,8,2,1,,,,history
Miami (OH),1986,8,4,0,,,,history
Miami (OH),1987,5,6,0,,,,history
Miami (OH),1988,0,10,1,,,,history
Miami (OH),1989,2,8,1,,,,history
Miami (OH),1990,5,5,1,,,,history
Miami (OH),1991,6,4,1,,,,history
Miami (OH),1992,6,4,1,,,,history
Miami (OH),1993,4,7,0,,,,history
Miami (OH),1994,5,5,1,,,,history
Miami (OH),1995,8,2,1,,,,history
Miami (OH),1996,6,5,0,,,,history
Miami (OH),1997,8,3,0,,,,history
Miami (OH),1998,10,1,0,,,,history
Miami (OH),1999,7,4,0,,,,history
Miami (OH),2000,6,5,0,,,,history
Miami (OH),2001,7,5,0,,,,history
Miami (OH),2002,7,5,0,,,,history
Miami (OH),2003,13,1,0,,,,history
Miami (OH),2004,8,5,0,,,,history
Miami (OH),2005,7,4,0,,,,history
Miami (OH),2006,2,10,0,,,,history
Miami (OH),2007,6,7,0,,,,history
Miami (OH),2008,2,10,0,,,,history
Miami (OH),2009,1,11,0,,,,history
Miami (OH),2010,10,4,0,,,,history
Miami (OH),2011,4,8,0,,,,history
Miami (OH),2012,4,8,0,,,,history
Miami (OH),2013,0,12,0,,,,history
Miami (OH),2014,2,10,0,,,,history
Miami (OH),2015,3,9,0,,,,history
Miami (OH),2016,6,7,0,,,,history
Miami (OH),2017,5,7,0,,,,history
Miami (OH),2018,6,6,0,,,,history
Miami (OH),2019,8,6,0,,,,history
Miami (OH),2020,2,1,0,,,,history
Miami (OH),2021,7,6,0,,,,history
Miami (OH),2022,6,7,0,,,,history
Miami (OH),2023,11,3,0,,,,history
Miami (OH),2024,9,5,0,,,,history
Miami (OH),2025,7,7,0,,,,history
Michigan,1935,320,83,19,,,,ncaa
Michigan,1936,1,7,0,,,,history
Michigan,1937,4,4,0,,,,history
Michigan,1938,6,1,1,,,,history
Michigan,1939,6,2,0,,,,history
Michigan,1940,7,1,0,,,,history
Michigan,1941,6,1,1,,,,history
Michigan,1942,7,3,0,,,,history
Michigan,1943,8,1,0,,,,history
Michigan,1944,8,2,0,,,,history
Michigan,1945,7,3,0,,,,history
Michigan,1946,6,2,1,,,,history
Michigan,1947,10,0,0,,,,history
Michigan,1948,9,0,0,,,,history
Michigan,1949,6,2,1,,,,history
Michigan,1950,6,3,1,,,,history
Michigan,1951,4,5,0,,,,history
Michigan,1952,5,4,0,,,,history
Michigan,1953,6,3,0,,,,history
Michigan,1954,6,3,0,,,,history
Michigan,1955,7,2,0,,,,history
Michigan,1956,7,2,0,,,,history
Michigan,1957,5,3,1,,,,history
Michigan,1958,2,6,1,,,,history
Michigan,1959,4,5,0,,,,history
Michigan,1960,5,4,0,,,,history
Michigan,1961,6,3,0,,,,history
Michigan,1962,2,7,0,,,,history
Michigan,1963,3,4,2,,,,history
Michigan,1964,9,1,0,,,,history
Michigan,1965,4,6,0,,,,history
Michigan,1966,6,4,0,,,,history
Michigan,1967,4,6,0,,,,history
Michigan,1968,8,2,0,,,,history
Michigan,1969,8,3,0,,,,history
Michigan,1970,9,1,0,,,,history
Michigan,1971,11,1,0,,,,history
Michigan,1972,10,1,0,,,,history
Michigan,1973,10,0,1,,,,history
Michigan,1974,10,1,0,,,,history
Michigan,1975,8,2,2,,,,history
Michigan,1976,10,2,0,,,,history
Michigan,1977,10,2,0,,,,history
Michigan,1978,10,2,0,,,,history
Michigan,1979,8,4,0,,,,history
Michigan,1980,10,2,0,,,,history
Michigan,1981,9,3,0,,,,history
Michigan,1982,8,4,0,,,,history
Michigan,1983,9,3,0,,,,history
Michigan,1984,6,6,0,,,,history
Michigan,1985,10,1,1,,,,history
Michigan,1986,11,2,0,,,,history
Michigan,1987,8,4,0,,,,history
Michigan,1988,9,2,1,,,,history
Michigan,1989,10,2,0,,,,history
Michigan,1990,9,3,0,,,,history
Michigan,1991,10,2,0,,,,history
Michigan,1992,9,0,3,,,,history
Michigan,1993,8,4,0,,,,history
Michigan,1994,8,4,0,,,,history
Michigan,1995,9,4,0,,,,history
Michigan,1996,8,4,0,,,,history
Michigan,1997,12,0,0,,,,history
Michigan,1998,10,3,0,,,,history
Michigan,1999,10,2,0,,,,history
Michigan,2000,9,3,0,,,,history
Michigan,2001,8,4,0,,,,history
Michigan,2002,10,3,0,,,,history
Michigan,2003,10,3,0,,,,history
Michigan,2004,9,3,0,,,,history
Michigan,2005,7,5,0,,,,history
Michigan,2006,11,2,0,,,,history
Michigan,2007,9,4,0,,,,history
Michigan,2008,3,9,0,,,,history
Michigan,2009,5,7,0,,,,history
Michigan,2010,7,6,0,,,,history
Michigan,2011,11,2,0,,,,history
Michigan,2012,8,5,0,,,,history
Michigan,2013,7,6,0,,,,history
Michigan,2014,5,7,0,,,,history
Michigan,2015,10,3,0,,,,history
Michigan,2016,10,3,0,,,,history
Michigan,2017,8,5,0,,,,history
Michigan,2018,10,3,0,,,,history
Michigan,2019,9,4,0,,,,history
Michigan,2020,2,4,0,,,,history
Michigan,2021,12,2,0,,,,history
Michigan,2022,13,1,0,,,,history
Michigan,2023,15,0,0,,,,history
Michigan,2024,8,5,0,,,,history
Michigan,2025,9,4,0,,,,history
Michigan State,1898,0,1,0,,,,history
Michigan State,1899,0,1,0,,,,history
Michigan State,1902,0,2,0,,,,history
Michigan State,1905,0,2,0,,,,history
Michigan State,1907,0,1,0,,,,history
Michigan State,1908,0,0,1,,,,history
Michigan State,1910,0,1,0,,,,history
Michigan State,1911,0,1,0,,,,history
Michigan State,1912,0,1,0,,,,history
Michigan State,1913,2,0,0,,,,history
Michigan State,1914,1,2,0,,,,history
Michigan State,1915,1,0,0,,,,history
Michigan State,1916,0,2,0,,,,history
Michigan State,1917,0,4,0,,,,history
Michigan State,1918,4,3,0,,,,history
Michigan State,1919,0,3,0,,,,history
Michigan State,1920,0,4,0,,,,history
Michigan State,1921,0,2,0,,,,history
Michigan State,1922,0,2,0,,,,history
Michigan State,1923,0,3,0,,,,history
Michigan State,1924,0,2,0,,,,history
Michigan State,1925,3,5,0,,,,history
Michigan State,1926,3,4,1,,,,history
Michigan State,1927,4,5,0,,,,history
Michigan State,1928,3,4,1,,,,history
Michigan State,1929,5,3,0,,,,history
Michigan State,1930,5,1,2,,,,history
Michigan State,1931,5,3,1,,,,history
Michigan State,1932,7,1,0,,,,history
Michigan State,1933,4,2,2,,,,history
Michigan State,1934,8,1,0,,,,history
Michigan State,1935,6,2,0,,,,history
Michigan State,1936,6,1,2,,,,history
Michigan State,1937,8,2,0,,,,history
Michigan State,1938,6,3,0,,,,history
Michigan State,1939,4,4,1,,,,history
Michigan State,1940,3,4,1,,,,history
Michigan State,1941,5,3,1,,,,history
Michigan State,1942,4,3,2,,,,history
Michigan State,1944,6,1,0,,,,history
Michigan State,1945,5,3,1,,,,history
Michigan State,1946,5,5,0,,,,history
Michigan State,1947,7,2,0,,,,history
Michigan State,1948,6,2,2,,,,history
Michigan State,1949,6,3,0,,,,history
Michigan State,1950,8,1,0,,,,history
Michigan State,1951,9,0,0,,,,history
Michigan State,1952,9,0,0,,,,history
Michigan State,1953,9,1,0,,,,history
Michigan State,1954,3,6,0,,,,history
Michigan State,1955,9,1,0,,,,history
Michigan State,1956,7,2,0,,,,history
Michigan State,1957,8,1,0,,,,history
Michigan State,1958,3,5,1,,,,history
Michigan State,1959,5,4,0,,,,history
Michigan State,1960,6,2,1,,,,history
Michigan State,1961,7,2,0,,,,history
Michigan State,1962,5,4,0,,,,history
Michigan State,1963,6,2,1,,,,history
Michigan State,1964,4,5,0,,,,history
Michigan State,1965,10,1,0,,,,history
Michigan State,1966,9,0,1,,,,history
Michigan State,1967,3,7,0,,,,history
Michigan State,1968,5,5,0,,,,history
Michigan State,1969,4,6,0,,,,history
Michigan State,1970,4,6,0,,,,history
Michigan State,1971,6,5,0,,,,history
Michigan State,1972,5,5,1,,,,history
Michigan State,1973,5,6,0,,,,history
Michigan State,1974,7,3,1,,,,history
Michigan State,1975,7,4,0,,,,history
Michigan State,1976,4,6,1,,,,history
Michigan State,1977,7,3,1,,,,history
Michigan State,1978,8,3,0,,,,history
Michigan State,1979,5,6,0,,,,history
Michigan State,1980,3,8,0,,,,history
Michigan State,1981,5,6,0,,,,history
Michigan State,1982,2,9,0,,,,history
Michigan State,1983,4,6,1,,,,history
Michigan State,1984,6,6,0,,,,history
Michigan State,1985,7,5,0,,,,history
Michigan State,1986,6,5,0,,,,history
Michigan State,1987,9,2,1,,,,history
Michigan State,1988,6,5,1,,,,history
Michigan State,1989,8,4,0,,,,history
Michigan State,1990,8,3,1,,,,history
Michigan State,1991,3,8,0,,,,history
Michigan State,1992,5,6,0,,,,history
Michigan State,1993,6,6,0,,,,history
Michigan State,1994,5,6,0,,,,history
Michigan State,1995,6,5,1,,,,history
Michigan State,1996,6,6,0,,,,history
Michigan State,1997,7,5,0,,,,history
Michigan State,1998,6,6,0,,,,history
Michigan State,1999,10,2,0,,,,history
Michigan State,2000,5,6,0,,,,history
Michigan State,2001,7,5,0,,,,history
Michigan State,2002,4,8,0,,,,history
Michigan State,2003,8,5,0,,,,history
Michigan State,2004,5,7,0,,,,history
Michigan State,2005,5,6,0,,,,history
Michigan State,2006,4,8,0,,,,history
Michigan State,2007,7,6,0,,,,history
Michigan State,2008,9,4,0,,,,history
Michigan State,2009,6,7,0,,,,history
Michigan State,2010,11,2,0,,,,history
Michigan State,2011,11,3,0,,,,history
Michigan State,2012,7,6,0,,,,history
Michigan State,2013,13,1,0,,,,history
Michigan State,2014,11,2,0,,,,history
Michigan State,2015,12,2,0,,,,history
Michigan State,2016,3,9,0,,,,history
Michigan State,2017,10,3,0,,,,history
Michigan State,2018,7,6,0,,,,history
Michigan State,2019,7,6,0,,,,history
Michigan State,2020,2,5,0,,,,history
Michigan State,2021,11,2,0,,,,history
Michigan State,2022,5,7,0,,,,history
Michigan State,2023,4,8,0,,,,history
Michigan State,2024,5,7,0,,,,history
Michigan State,2025,4,8,0,,,,history
Middle Tennessee,1911,0,1,0,,,,history
Middle Tennessee,1915,0,1,0,,,,history
Middle Tennessee,1920,0,1,0,,,,history
Middle Tennessee,1921,0,1,0,,,,history
Middle Tennessee,1922,0,1,0,,,,history
Middle Tennessee,1925,0,2,0,,,,history
Middle Tennessee,1926,0,2,0,,,,history
Middle Tennessee,1932,0,1,0,,,,history
Middle Tennessee,1936,0,1,0,,,,history
Middle Tennessee,1937,0,0,0,,,,history
Middle Tennessee,1938,0,0,0,,,,history
Middle Tennessee,1939,0,0,0,,,,history
Middle Tennessee,1940,0,0,0,,,,history
Middle Tennessee,1941,0,0,0,,,,history
Middle Tennessee,1942,0,0,0,,,,history
Middle Tennessee,1946,0,0,0,,,,history
Middle Tennessee,1947,0,0,0,,,,history
Middle Tennessee,1948,0,0,0,,,,history
Middle Tennessee,1949,0,0,0,,,,history
Middle Tennessee,1950,0,1,0,,,,history
Middle Tennessee,1951,0,1,0,,,,history
Middle Tennessee,1952,0,0,0,,,,history
Middle Tennessee,1953,0,1,0,,,,history
Middle Tennessee,1954,0,0,0,,,,history
Middle Tennessee,1955,0,1,0,,,,history
Middle Tennessee,1956,0,1,0,,,,history
Middle Tennessee,1957,0,0,0,,,,history
Middle Tennessee,1958,0,0,0,,,,history
Middle Tennessee,1959,1,0,0,,,,history
Middle Tennessee,1960,0,0,0,,,,history
Middle Tennessee,1961,0,1,0,,,,history
Middle Tennessee,1962,0,0,0,,,,history
Middle Tennessee,1963,0,0,0,,,,history
Middle Tennessee,1964,0,0,0,,,,history
Middle Tennessee,1965,0,0,0,,,,history
Middle Tennessee,1966,0,0,0,,,,history
Middle Tennessee,1967,0,0,0,,,,history
Middle Tennessee,1968,0,0,0,,,,history
Middle Tennessee,1969,0,0,0,,,,history
Middle Tennessee,1970,0,0,0,,,,history
Middle Tennessee,1971,1,0,0,,,,history
Middle Tennessee,1972,1,0,0,,,,history
Middle Tennessee,1973,0,0,0,,,,history
Middle Tennessee,1974,0,2,0,,,,history
Middle Tennessee,1975,0,1,0,,,,history
Middle Tennessee,1976,1,0,0,,,,history
Middle Tennessee,1977,0,2,0,,,,history
Middle Tennessee,1978,0,0,1,,,,history
Middle Tennessee,1979,0,2,0,,,,history
Middle Tennessee,1980,0,2,0,,,,history
Middle Tennessee,1981,1,1,0,,,,history
Middle Tennessee,1982,0,0,0,,,,history
Middle Tennessee,1983,0,0,0,,,,history
Middle Tennessee,1984,1,0,0,,,,history
Middle Tennessee,1985,0,0,0,,,,history
Middle Tennessee,1986,0,0,0,,,,history
Middle Tennessee,1987,0,0,0,,,,history
Middle Tennessee,1988,0,1,0,,,,history
Middle Tennessee,1989,0,1,0,,,,history
Middle Tennessee,1990,0,0,0,,,,history
Middle Tennessee,1991,0,2,0,,,,history
Middle Tennessee,1992,1,1,0,,,,history
Middle Tennessee,1993,0,2,0,,,,history
Middle Tennessee,1994,0,0,0,,,,history
Middle Tennessee,1995,0,1,0,,,,history
Middle Tennessee,1996,0,1,0,,,,history
Middle Tennessee,1997,0,0,0,,,,history
Middle Tennessee,1998,0,2,0,,,,history
Middle Tennessee,1999,3,8,0,,,,history
Middle Tennessee,2000,6,5,0,,,,history
Middle Tennessee,2001,8,3,0,,,,history
Middle Tennessee,2002,4,8,0,,,,history
Middle Tennessee,2003,4,8,0,,,,history
Middle Tennessee,2004,5,6,0,,,,history
Middle Tennessee,2005,4,7,0,,,,history
Middle Tennessee,2006,7,6,0,,,,history
Middle Tennessee,2007,5,7,0,,,,history
Middle Tennessee,2008,5,7,0,,,,history
Middle Tennessee,2009,10,3,0,,,,history
Middle Tennessee,2010,6,7,0,,,,history
Middle Tennessee,2011,2,10,0,,,,history
Middle Tennessee,2012,8,4,0,,,,history
Middle Tennessee,2013,8,5,0,,,,history
Middle Tennessee,2014,6,6,0,,,,history
Middle Tennessee,2015,7,6,0,,,,history
Middle Tennessee,2016,8,5,0,,,,history
Middle Tennessee,2017,7,6,0,,,,history
Middle Tennessee,2018,8,6,0,,,,history
Middle Tennessee,2019,4,8,0,,,,history
Middle Tennessee,2020,3,6,0,,,,history
Middle Tennessee,2021,7,6,0,,,,history
Middle Tennessee,2022,8,5,0,,,,history
Middle Tennessee,2023,4,8,0,,,,history
Middle Tennessee,2024,3,9,0,,,,history
Middle Tennessee,2025,3,9,0,,,,history
Minnesota,1935,269,86,27,,,,ncaa
Minnesota,1936,7,1,0,,,,history
Minnesota,1937,6,2,0,,,,history
Minnesota,1938,6,2,0,,,,history
Minnesota,1939,3,4,1,,,,history
Minnesota,1940,8,0,0,,,,history
Minnesota,1941,8,0,0,,,,history
Minnesota,1942,5,4,0,,,,history
Minnesota,1943,5,4,0,,,,history
Minnesota,1944,5,3,1,,,,history
Minnesota,1945,4,5,0,,,,history
Minnesota,1946,5,4,0,,,,history
Minnesota,1947,6,3,0,,,,history
Minnesota,1948,7,2,0,,,,history
Minnesota,1949,7,2,0,,,,history
Minnesota,1950,1,7,1,,,,history
Minnesota,1951,2,6,1,,,,history
Minnesota,1952,4,3,2,,,,history
Minnesota,1953,4,4,1,,,,history
Minnesota,1954,7,2,0,,,,history
Minnesota,1955,3,6,0,,,,history
Minnesota,1956,6,1,2,,,,history
Minnesota,1957,4,5,0,,,,history
Minnesota,1958,1,8,0,,,,history
Minnesota,1959,2,7,0,,,,history
Minnesota,1960,8,2,0,,,,history
Minnesota,1961,8,2,0,,,,history
Minnesota,1962,6,2,1,,,,history
Minnesota,1963,3,6,0,,,,history
Minnesota,1964,5,4,0,,,,history
Minnesota,1965,5,4,1,,,,history
Minnesota,1966,4,5,1,,,,history
Minnesota,1967,8,2,0,,,,history
Minnesota,1968,6,4,0,,,,history
Minnesota,1969,4,5,1,,,,history
Minnesota,1970,3,6,1,,,,history
Minnesota,1971,4,7,0,,,,history
Minnesota,1972,4,7,0,,,,history
Minnesota,1973,7,4,0,,,,history
Minnesota,1974,4,7,0,,,,history
Minnesota,1975,6,5,0,,,,history
Minnesota,1976,6,5,0,,,,history
Minnesota,1977,7,5,0,,,,history
Minnesota,1978,5,6,0,,,,history
Minnesota,1979,4,6,1,,,,history
Minnesota,1980,5,6,0,,,,history
Minnesota,1981,6,5,0,,,,history
Minnesota,1982,3,8,0,,,,history
Minnesota,1983,1,10,0,,,,history
Minnesota,1984,4,7,0,,,,history
Minnesota,1985,7,5,0,,,,history
Minnesota,1986,6,6,0,,,,history
Minnesota,1987,6,5,0,,,,history
Minnesota,1988,2,7,2,,,,history
Minnesota,1989,6,5,0,,,,history
Minnesota,1990,6,5,0,,,,history
Minnesota,1991,2,9,0,,,,history
Minnesota,1992,2,9,0,,,,history
Minnesota,1993,4,7,0,,,,history
Minnesota,1994,3,8,0,,,,history
Minnesota,1995,3,8,0,,,,history
Minnesota,1996,4,7,0,,,,history
Minnesota,1997,3,9,0,,,,history
Minnesota,1998,5,6,0,,,,history
Minnesota,1999,8,4,0,,,,history
Minnesota,2000,6,6,0,,,,history
Minnesota,2001,4,7,0,,,,history
Minnesota,2002,8,5,0,,,,history
Minnesota,2003,10,3,0,,,,history
Minnesota,2004,7,5,0,,,,history
Minnesota,2005,7,5,0,,,,history
Minnesota,2006,6,7,0,,,,history
Minnesota,2007,1,11,0,,,,history
Minnesota,2008,7,6,0,,,,history
Minnesota,2009,6,7,0,,,,history
Minnesota,2010,3,9,0,,,,history
Minnesota,2011,3,9,0,,,,history
Minnesota,2012,6,7,0,,,,history
Minnesota,2013,8,5,0,,,,history
Minnesota,2014,8,5,0,,,,history
Minnesota,2015,6,7,0,,,,history
Minnesota,2016,9,4,0,,,,history
Minnesota,2017,5,7,0,,,,history
Minnesota,2018,7,6,0,,,,history
Minnesota,2019,11,2,0,,,,history
Minnesota,2020,3,4,0,,,,history
Minnesota,2021,9,4,0,,,,history
Minnesota,2022,9,4,0,,,,history
Minnesota,2023,6,7,0,,,,history
Minnesota,2024,8,5,0,,,,history
Minnesota,2025,8,5,0,,,,history
Mississippi State,1902,1,4,1,,,,history
Mississippi State,1903,1,0,0,,,,history
Mississippi State,1904,2,5,0,,,,history
Mississippi State,1905,0,2,0,,,,history
Mississippi State,1906,2,2,1,,,,history
Mississippi State,1907,6,3,0,,,,history
Mississippi State,1908,3,4,0,,,,history
Mississippi State,1909,5,4,0,,,,history
Mississippi State,1910,7,2,0,,,,history
Mississippi State,1911,7,2,1,,,,history
Mississippi State,1912,4,3,0,,,,history
Mississippi State,1913,6,1,1,,,,history
Mississippi State,1914,6,2,0,,,,history
Mississippi State,1915,5,2,1,,,,history
Mississippi State,1916,4,4,1,,,,history
Mississippi State,1917,6,1,0,,,,history
Mississippi State,1918,3,2,0,,,,history
Mississippi State,1919,6,2,0,,,,history
Mississippi State,1920,5,3,0,,,,history
Mississippi State,1921,4,4,1,,,,history
Mississippi State,1922,3,4,2,,,,history
Mississippi State,1923,5,2,2,,,,history
Mississippi State,1924,5,4,0,,,,history
Mississippi State,1925,3,4,1,,,,history
Mississippi State,1926,5,4,0,,,,history
Mississippi State,1927,5,3,0,,,,history
Mississippi State,1928,2,4,2,,,,history
Mississippi State,1929,1,5,2,,,,history
Mississippi State,1930,2,7,0,,,,history
Mississippi State,1931,2,6,0,,,,history
Mississippi State,1932,3,5,0,,,,history
Mississippi State,1933,3,6,1,,,,history
Mississippi State,1934,4,6,0,,,,history
Mississippi State,1935,8,3,0,,,,history
Mississippi State,1936,7,3,1,,,,history
Mississippi State,1937,5,4,1,,,,history
Mississippi State,1938,4,6,0,,,,history
Mississippi State,1939,8,2,0,,,,history
Mississippi State,1940,10,0,1,,,,history
Mississippi State,1941,8,1,1,,,,history
Mississippi State,1942,8,2,0,,,,history
Mississippi State,1944,6,2,0,,,,history
Mississippi State,1945,6,3,0,,,,history
Mississippi State,1946,8,2,0,,,,history
Mississippi State,1947,7,3,0,,,,history
Mississippi State,1948,4,4,1,,,,history
Mississippi State,1949,0,8,1,,,,history
Mississippi State,1950,4,5,0,,,,history
Mississippi State,1951,4,5,0,,,,history
Mississippi State,1952,5,4,0,,,,history
Mississippi State,1953,5,2,3,,,,history
Mississippi State,1954,6,4,0,,,,history
Mississippi State,1955,6,4,0,,,,history
Mississippi State,1956,4,6,0,,,,history
Mississippi State,1957,6,2,1,,,,history
Mississippi State,1958,3,6,0,,,,history
Mississippi State,1959,2,7,0,,,,history
Mississippi State,1960,2,6,1,,,,history
Mississippi State,1961,5,5,0,,,,history
Mississippi State,1962,3,6,0,,,,history
Mississippi State,1963,7,2,2,,,,history
Mississippi State,1964,4,6,0,,,,history
Mississippi State,1965,4,6,0,,,,history
Mississippi State,1966,2,8,0,,,,history
Mississippi State,1967,1,9,0,,,,history
Mississippi State,1968,0,8,2,,,,history
Mississippi State,1969,3,7,0,,,,history
Mississippi State,1970,6,5,0,,,,history
Mississippi State,1971,2,9,0,,,,history
Mississippi State,1972,4,7,0,,,,history
Mississippi State,1973,4,5,2,,,,history
Mississippi State,1974,9,3,0,,,,history
Mississippi State,1975,6,4,1,,,,history
Mississippi State,1976,9,2,0,,,,history
Mississippi State,1977,5,6,0,,,,history
Mississippi State,1978,6,5,0,,,,history
Mississippi State,1979,3,8,0,,,,history
Mississippi State,1980,9,3,0,,,,history
Mississippi State,1981,8,4,0,,,,history
Mississippi State,1982,5,6,0,,,,history
Mississippi State,1983,3,8,0,,,,history
Mississippi State,1984,4,7,0,,,,history
Mississippi State,1985,5,6,0,,,,history
Mississippi State,1986,6,5,0,,,,history
Mississippi State,1987,4,7,0,,,,history
Mississippi State,1988,1,10,0,,,,history
Mississippi State,1989,5,6,0,,,,history
Mississippi State,1990,5,6,0,,,,history
Mississippi State,1991,7,5,0,,,,history
Mississippi State,1992,7,5,0,,,,history
Mississippi State,1993,3,6,2,,,,history
Mississippi State,1994,8,4,0,,,,history
Mississippi State,1995,3,8,0,,,,history
Mississippi State,1996,5,6,0,,,,history
Mississippi State,1997,7,4,0,,,,history
Mississippi State,1998,8,5,0,,,,history
Mississippi State,1999,10,2,0,,,,history
Mississippi State,2000,8,4,0,,,,history
Mississippi State,2001,3,8,0,,,,history
Mississippi State,2002,3,9,0,,,,history
Mississippi State,2003,2,10,0,,,,history
Mississippi State,2004,3,8,0,,,,history
Mississippi State,2005,3,8,0,,,,history
Mississippi State,2006,3,9,0,,,,history
Mississippi State,2007,8,5,0,,,,history
Mississippi State,2008,4,8,0,,,,history
Mississippi State,2009,5,7,0,,,,history
Mississippi State,2010,9,4,0,,,,history
Mississippi State,2011,7,6,0,,,,history
Mississippi State,2012,8,5,0,,,,history
Mississippi State,2013,7,6,0,,,,history
Mississippi State,2014,10,3,0,,,,history
Mississippi State,2015,9,4,0,,,,history
Mississippi State,2016,6,7,0,,,,history
Mississippi State,2017,9,4,0,,,,history
Mississippi State,2018,8,5,0,,,,history
