school,season,wins,losses,ties,source
Columbia,2018,6,4,0,cfbd
Columbia,2019,3,7,0,cfbd
Columbia,2021,7,3,0,cfbd
Columbia,2022,6,4,0,cfbd
Columbia,2023,3,7,0,cfbd
Columbia,2024,7,3,0,cfbd
Columbia,2025,2,8,0,cfbd
Columbia,2026,0,0,0,cfbd
Concord,2014,0,0,0,cfbd
Concord,2015,0,0,0,cfbd
Concord,2016,0,0,0,cfbd
Concord,2017,0,0,0,cfbd
Concord,2018,0,0,0,cfbd
Concord,2019,0,0,0,cfbd
Concord,2020,1,0,0,cfbd
Concord,2021,4,6,0,cfbd
Concord,2022,9,2,0,cfbd
Concord,2023,1,10,0,cfbd
Concord,2024,1,10,0,cfbd
Concord,2025,4,7,0,cfbd
Concord,2026,1,0,0,cfbd
Concordia (MN),2014,0,0,0,cfbd
Concordia (MN),2015,0,0,0,cfbd
Concordia (MN),2016,0,0,0,cfbd
Concordia (MN),2017,0,0,0,cfbd
Concordia (MN),2018,0,0,0,cfbd
Concordia (MN),2019,0,0,0,cfbd
Concordia (MN),2020,0,0,0,cfbd
Concordia (MN),2021,0,0,0,cfbd
Concordia (MN),2022,4,4,0,cfbd
Concordia (MN),2023,5,5,0,cfbd
Concordia (MN),2024,7,3,0,cfbd
Concordia (MN),2025,7,3,0,cfbd
Concordia (MN),2026,0,0,0,cfbd
Concordia (WI),2014,0,0,0,cfbd
Concordia (WI),2015,0,0,0,cfbd
Concordia (WI),2016,0,0,0,cfbd
Concordia (WI),2017,0,0,0,cfbd
Concordia (WI),2018,0,0,0,cfbd
Concordia (WI),2019,0,0,0,cfbd
Concordia (WI),2020,3,2,0,cfbd
Concordia (WI),2021,0,0,0,cfbd
Concordia (WI),2022,8,2,0,cfbd
Concordia (WI),2023,7,3,0,cfbd
Concordia (WI),2024,6,3,0,cfbd
Concordia (WI),2025,9,2,0,cfbd
Concordia (WI),2026,0,0,0,cfbd
Concordia Chicago,2014,0,0,0,cfbd
Concordia Chicago,2015,0,0,0,cfbd
Concordia Chicago,2016,0,0,0,cfbd
Concordia Chicago,2017,0,0,0,cfbd
Concordia Chicago,2018,0,0,0,cfbd
Concordia Chicago,2019,0,0,0,cfbd
Concordia Chicago,2020,0,3,0,cfbd
Concordia Chicago,2021,0,0,0,cfbd
Concordia Chicago,2022,3,7,0,cfbd
Concordia Chicago,2023,1,9,0,cfbd
Concordia Chicago,2024,2,8,0,cfbd
Concordia Chicago,2025,4,6,0,cfbd
Concordia Chicago,2026,0,0,0,cfbd
Concordia St. Paul,2014,0,0,0,cfbd
Concordia St. Paul,2015,0,0,0,cfbd
Concordia St. Paul,2016,0,0,0,cfbd
Concordia St. Paul,2017,0,0,0,cfbd
Concordia St. Paul,2018,0,0,0,cfbd
Concordia St. Paul,2019,0,0,0,cfbd
Concordia St. Paul,2020,0,0,0,cfbd
Concordia St. Paul,2021,1,10,0,cfbd
Concordia St. Paul,2022,1,10,0,cfbd
Concordia St. Paul,2023,3,8,0,cfbd
Concordia St. Paul,2024,2,9,0,cfbd
Concordia St. Paul,2025,2,9,0,cfbd
Concordia St. Paul,2026,0,0,0,cfbd
Cornell,1936,3,5,0,cfbd
Cornell,1937,5,2,1,cfbd
Cornell,1938,5,1,1,cfbd
Cornell,1939,8,0,0,cfbd
Cornell,1940,6,2,0,cfbd
Cornell,1941,5,3,0,cfbd
Cornell,1942,3,5,1,cfbd
Cornell,1943,6,4,0,cfbd
Cornell,1944,5,4,0,cfbd
Cornell,1945,5,4,0,cfbd
Cornell,1946,5,3,1,cfbd
Cornell,1947,4,5,0,cfbd
Cornell,1948,8,1,0,cfbd
Cornell,1949,8,1,0,cfbd
Cornell,1950,7,2,0,cfbd
Cornell,1951,6,3,0,cfbd
Cornell,1952,2,7,0,cfbd
Cornell,1953,4,3,2,cfbd
Cornell,1954,5,4,0,cfbd
Cornell,1955,5,4,0,cfbd
Cornell,1956,1,8,0,cfbd
Cornell,1957,3,6,0,cfbd
Cornell,1958,6,3,0,cfbd
Cornell,1959,5,4,0,cfbd
Cornell,1960,2,7,0,cfbd
Cornell,1961,3,6,0,cfbd
Cornell,1962,4,5,0,cfbd
Cornell,1963,5,4,0,cfbd
Cornell,1964,3,5,1,cfbd
Cornell,1965,4,3,2,cfbd
Cornell,1966,6,3,0,cfbd
Cornell,1967,6,2,1,cfbd
Cornell,1968,3,6,0,cfbd
Cornell,1969,4,5,0,cfbd
Cornell,1970,6,3,0,cfbd
Cornell,1971,8,1,0,cfbd
Cornell,1972,6,3,0,cfbd
Cornell,1973,3,5,1,cfbd
Cornell,1974,3,5,1,cfbd
Cornell,1975,1,8,0,cfbd
Cornell,1976,2,7,0,cfbd
Cornell,1977,1,8,0,cfbd
Cornell,1978,5,3,1,cfbd
Cornell,1979,5,4,0,cfbd
Cornell,1980,5,5,0,cfbd
Cornell,1981,3,7,0,cfbd
Cornell,1982,0,0,0,cfbd
Cornell,1983,0,1,0,cfbd
Cornell,1984,0,0,0,cfbd
Cornell,1985,0,0,0,cfbd
Cornell,1986,0,0,0,cfbd
Cornell,1987,0,0,0,cfbd
Cornell,1988,0,0,0,cfbd
Cornell,1989,0,0,0,cfbd
Cornell,1990,0,0,0,cfbd
Cornell,1991,0,1,0,cfbd
Cornell,1992,0,0,0,cfbd
Cornell,1993,0,0,0,cfbd
Cornell,1994,0,0,0,cfbd
Cornell,1995,0,0,0,cfbd
Cornell,1996,0,0,0,cfbd
Cornell,1997,0,0,0,cfbd
Cornell,1998,0,0,0,cfbd
Cornell,1999,0,0,0,cfbd
Cornell,2000,0,0,0,cfbd
Cornell,2001,0,0,0,cfbd
Cornell,2002,0,0,0,cfbd
Cornell,2003,1,9,0,cfbd
Cornell,2004,4,6,0,cfbd
Cornell,2005,6,4,0,cfbd
Cornell,2006,5,4,0,cfbd
Cornell,2007,5,5,0,cfbd
Cornell,2008,4,6,0,cfbd
Cornell,2009,2,8,0,cfbd
Cornell,2010,2,8,0,cfbd
Cornell,2011,5,5,0,cfbd
Cornell,2012,4,6,0,cfbd
Cornell,2013,3,7,0,cfbd
Cornell,2014,1,9,0,cfbd
Cornell,2015,1,9,0,cfbd
Cornell,2016,4,6,0,cfbd
Cornell,2017,3,7,0,cfbd
Cornell,2018,3,7,0,cfbd
Cornell,2019,4,6,0,cfbd
Cornell,2021,2,8,0,cfbd
Cornell,2022,5,5,0,cfbd
Cornell,2023,3,7,0,cfbd
Cornell,2024,4,6,0,cfbd
Cornell,2025,4,6,0,cfbd
Cornell,2026,0,0,0,cfbd
Cornell (IA),2014,0,0,0,cfbd
Cornell (IA),2015,0,0,0,cfbd
Cornell (IA),2016,0,0,0,cfbd
Cornell (IA),2017,0,0,0,cfbd
Cornell (IA),2018,0,0,0,cfbd
Cornell (IA),2019,0,0,0,cfbd
Cornell (IA),2020,0,0,0,cfbd
Cornell (IA),2021,0,0,0,cfbd
Cornell (IA),2022,3,7,0,cfbd
Cornell (IA),2023,6,4,0,cfbd
Cornell (IA),2024,5,5,0,cfbd
Cornell (IA),2025,4,6,0,cfbd
Cornell (IA),2026,0,0,0,cfbd
Creighton,1936,4,4,0,cfbd
Creighton,1937,2,7,0,cfbd
Creighton,1938,6,1,1,cfbd
Creighton,1939,4,5,0,cfbd
Creighton,1940,6,2,2,cfbd
Creighton,1941,5,5,0,cfbd
Creighton,1942,5,4,0,cfbd
Crown,2014,0,0,0,cfbd
Crown,2015,0,0,0,cfbd
Crown,2016,0,0,0,cfbd
Crown,2017,0,0,0,cfbd
Crown,2018,0,0,0,cfbd
Crown,2019,0,0,0,cfbd
Crown,2020,0,0,0,cfbd
Crown,2021,0,0,0,cfbd
Crown,2022,4,6,0,cfbd
Crown,2023,1,8,0,cfbd
Crown,2024,1,9,0,cfbd
Crown,2025,7,4,0,cfbd
Crown,2026,0,0,0,cfbd
CSU Pueblo,2014,1,0,0,cfbd
CSU Pueblo,2015,0,0,0,cfbd
CSU Pueblo,2016,0,0,0,cfbd
CSU Pueblo,2017,0,0,0,cfbd
CSU Pueblo,2018,0,0,0,cfbd
CSU Pueblo,2019,0,0,0,cfbd
CSU Pueblo,2020,0,0,0,cfbd
CSU Pueblo,2021,6,5,0,cfbd
CSU Pueblo,2022,8,4,0,cfbd
CSU Pueblo,2023,8,3,0,cfbd
CSU Pueblo,2024,10,2,0,cfbd
CSU Pueblo,2025,10,2,0,cfbd
CSU Pueblo,2026,0,0,0,cfbd
Curry,2014,0,0,0,cfbd
Curry,2015,0,0,0,cfbd
Curry,2016,0,0,0,cfbd
Curry,2017,0,0,0,cfbd
Curry,2018,0,0,0,cfbd
Curry,2019,0,0,0,cfbd
Curry,2020,0,0,0,cfbd
Curry,2021,0,0,0,cfbd
Curry,2022,3,7,0,cfbd
Curry,2023,3,7,0,cfbd
Curry,2024,4,6,0,cfbd
Curry,2025,8,3,0,cfbd
Curry,2026,0,0,0,cfbd
Dartmouth,1936,7,1,1,cfbd
Dartmouth,1937,7,0,2,cfbd
Dartmouth,1938,7,2,0,cfbd
Dartmouth,1939,5,3,1,cfbd
Dartmouth,1940,5,4,0,cfbd
Dartmouth,1941,5,4,0,cfbd
Dartmouth,1942,5,4,0,cfbd
Dartmouth,1943,6,1,0,cfbd
Dartmouth,1944,2,5,1,cfbd
Dartmouth,1945,1,6,1,cfbd
Dartmouth,1946,3,6,0,cfbd
Dartmouth,1947,4,4,1,cfbd
Dartmouth,1948,6,2,0,cfbd
Dartmouth,1949,6,2,0,cfbd
Dartmouth,1950,3,5,1,cfbd
Dartmouth,1951,4,5,0,cfbd
Dartmouth,1952,2,7,0,cfbd
Dartmouth,1953,2,7,0,cfbd
Dartmouth,1954,3,6,0,cfbd
Dartmouth,1955,3,6,0,cfbd
Dartmouth,1956,5,3,1,cfbd
Dartmouth,1957,7,1,1,cfbd
Dartmouth,1958,7,2,0,cfbd
Dartmouth,1959,5,3,1,cfbd
Dartmouth,1960,5,4,0,cfbd
Dartmouth,1961,6,3,0,cfbd
Dartmouth,1962,9,0,0,cfbd
Dartmouth,1963,7,2,0,cfbd
Dartmouth,1964,6,3,0,cfbd
Dartmouth,1965,9,0,0,cfbd
Dartmouth,1966,7,2,0,cfbd
Dartmouth,1967,7,2,0,cfbd
Dartmouth,1968,4,5,0,cfbd
Dartmouth,1969,8,1,0,cfbd
Dartmouth,1970,9,0,0,cfbd
Dartmouth,1971,8,1,0,cfbd
Dartmouth,1972,7,1,1,cfbd
Dartmouth,1973,6,3,0,cfbd
Dartmouth,1974,3,6,0,cfbd
Dartmouth,1975,5,3,1,cfbd
Dartmouth,1976,6,3,0,cfbd
Dartmouth,1977,6,3,0,cfbd
Dartmouth,1978,6,3,0,cfbd
Dartmouth,1979,4,4,1,cfbd
Dartmouth,1980,4,6,0,cfbd
Dartmouth,1981,6,4,0,cfbd
Dartmouth,1982,0,1,0,cfbd
Dartmouth,1983,0,2,0,cfbd
Dartmouth,1984,0,0,0,cfbd
Dartmouth,1985,0,0,0,cfbd
Dartmouth,1986,0,1,0,cfbd
Dartmouth,1987,0,0,0,cfbd
Dartmouth,1988,0,0,0,cfbd
Dartmouth,1989,0,0,0,cfbd
Dartmouth,1990,0,0,0,cfbd
Dartmouth,1991,0,0,0,cfbd
Dartmouth,1992,0,0,0,cfbd
Dartmouth,1993,0,0,0,cfbd
Dartmouth,1994,0,0,0,cfbd
Dartmouth,1995,0,0,0,cfbd
Dartmouth,1996,0,0,0,cfbd
Dartmouth,1997,0,0,0,cfbd
Dartmouth,1998,0,0,0,cfbd
Dartmouth,1999,0,0,0,cfbd
Dartmouth,2000,0,0,0,cfbd
Dartmouth,2001,0,0,0,cfbd
Dartmouth,2002,0,0,0,cfbd
Dartmouth,2003,5,5,0,cfbd
Dartmouth,2004,1,9,0,cfbd
Dartmouth,2005,2,8,0,cfbd
Dartmouth,2006,1,8,0,cfbd
Dartmouth,2007,3,7,0,cfbd
Dartmouth,2008,0,10,0,cfbd
Dartmouth,2009,2,8,0,cfbd
Dartmouth,2010,6,4,0,cfbd
Dartmouth,2011,5,5,0,cfbd
Dartmouth,2012,6,4,0,cfbd
Dartmouth,2013,6,4,0,cfbd
Dartmouth,2014,8,2,0,cfbd
Dartmouth,2015,9,1,0,cfbd
Dartmouth,2016,4,6,0,cfbd
Dartmouth,2017,8,2,0,cfbd
Dartmouth,2018,9,1,0,cfbd
Dartmouth,2019,9,1,0,cfbd
Dartmouth,2021,9,1,0,cfbd
Dartmouth,2022,3,7,0,cfbd
Dartmouth,2023,6,4,0,cfbd
Dartmouth,2024,8,2,0,cfbd
Dartmouth,2025,7,3,0,cfbd
Dartmouth,2026,0,0,0,cfbd
Davenport,2014,0,0,0,cfbd
Davenport,2015,0,0,0,cfbd
Davenport,2016,0,0,0,cfbd
Davenport,2017,0,0,0,cfbd
Davenport,2018,0,0,0,cfbd
Davenport,2019,0,0,0,cfbd
Davenport,2020,2,0,0,cfbd
Davenport,2021,2,8,0,cfbd
Davenport,2022,8,3,0,cfbd
Davenport,2023,8,2,0,cfbd
Davenport,2024,7,4,0,cfbd
Davenport,2025,5,5,1,cfbd
Davenport,2026,0,0,0,cfbd
Davidson,1936,5,4,0,cfbd
Davidson,1937,2,8,0,cfbd
Davidson,1938,4,6,0,cfbd
Davidson,1939,2,7,0,cfbd
Davidson,1940,5,5,0,cfbd
Davidson,1941,1,6,3,cfbd
Davidson,1942,2,6,1,cfbd
Davidson,1943,0,3,0,cfbd
Davidson,1946,4,5,0,cfbd
Davidson,1947,6,3,1,cfbd
Davidson,1948,3,5,1,cfbd
Davidson,1949,2,8,0,cfbd
Davidson,1950,3,6,0,cfbd
Davidson,1951,1,8,0,cfbd
Davidson,1952,2,7,0,cfbd
Davidson,1953,0,9,0,cfbd
Davidson,1954,6,3,0,cfbd
Davidson,1955,5,4,0,cfbd
Davidson,1956,5,3,1,cfbd
Davidson,1957,5,3,0,cfbd
Davidson,1958,5,4,0,cfbd
Davidson,1959,1,8,0,cfbd
Davidson,1960,3,5,0,cfbd
Davidson,1961,4,4,0,cfbd
Davidson,1962,3,5,1,cfbd
Davidson,1963,1,5,2,cfbd
Davidson,1964,3,6,0,cfbd
Davidson,1965,6,4,0,cfbd
Davidson,1966,4,5,0,cfbd
Davidson,1967,4,5,0,cfbd
Davidson,1968,3,6,0,cfbd
Davidson,1969,7,4,0,cfbd
Davidson,1970,2,8,0,cfbd
Davidson,1971,1,9,0,cfbd
Davidson,1972,3,7,1,cfbd
Davidson,1973,2,8,0,cfbd
Davidson,1974,0,3,0,cfbd
Davidson,1975,0,3,0,cfbd
Davidson,1976,0,2,0,cfbd
Davidson,1977,0,1,0,cfbd
Davidson,1978,0,1,0,cfbd
Davidson,1979,0,1,0,cfbd
Davidson,1980,0,2,0,cfbd
Davidson,1981,0,2,0,cfbd
Davidson,1982,0,0,0,cfbd
Davidson,1983,0,0,0,cfbd
Davidson,1984,0,0,0,cfbd
Davidson,1985,0,0,0,cfbd
Davidson,1986,0,0,0,cfbd
Davidson,1987,0,0,0,cfbd
Davidson,1988,0,0,0,cfbd
Davidson,1989,0,0,0,cfbd
Davidson,1990,0,0,0,cfbd
Davidson,1991,0,0,0,cfbd
Davidson,1992,0,0,0,cfbd
Davidson,1993,0,0,0,cfbd
Davidson,1994,0,0,0,cfbd
Davidson,1995,0,0,0,cfbd
Davidson,1996,0,0,0,cfbd
Davidson,1997,0,0,0,cfbd
Davidson,1998,0,0,0,cfbd
Davidson,1999,0,0,0,cfbd
Davidson,2000,0,0,0,cfbd
Davidson,2001,0,0,0,cfbd
Davidson,2002,0,0,0,cfbd
Davidson,2003,0,3,0,cfbd
Davidson,2004,0,2,0,cfbd
Davidson,2005,4,6,0,cfbd
Davidson,2006,6,4,0,cfbd
Davidson,2007,6,4,0,cfbd
Davidson,2008,4,7,0,cfbd
Davidson,2009,3,6,0,cfbd
Davidson,2010,2,8,0,cfbd
Davidson,2011,4,7,0,cfbd
Davidson,2012,2,9,0,cfbd
Davidson,2013,0,11,0,cfbd
Davidson,2014,1,10,0,cfbd
Davidson,2015,2,9,0,cfbd
Davidson,2016,2,9,0,cfbd
Davidson,2017,2,9,0,cfbd
Davidson,2018,6,5,0,cfbd
Davidson,2019,8,4,0,cfbd
Davidson,2020,4,3,0,cfbd
Davidson,2021,8,3,0,cfbd
Davidson,2022,8,4,0,cfbd
Davidson,2023,7,4,0,cfbd
Davidson,2024,6,5,0,cfbd
Davidson,2025,2,10,0,cfbd
Davidson,2026,0,1,0,cfbd
Dayton,1936,0,0,0,cfbd
Dayton,1937,0,0,0,cfbd
Dayton,1938,0,0,0,cfbd
Dayton,1939,0,0,1,cfbd
Dayton,1940,0,0,0,cfbd
Dayton,1941,0,1,0,cfbd
Dayton,1942,0,1,0,cfbd
Dayton,1946,1,1,0,cfbd
Dayton,1947,0,1,0,cfbd
Dayton,1948,1,1,0,cfbd
Dayton,1949,1,0,0,cfbd
Dayton,1950,0,1,0,cfbd
Dayton,1951,0,1,0,cfbd
Dayton,1952,1,0,0,cfbd
Dayton,1953,0,0,0,cfbd
Dayton,1954,0,2,0,cfbd
Dayton,1955,2,2,0,cfbd
Dayton,1956,4,6,0,cfbd
Dayton,1957,6,3,1,cfbd
Dayton,1958,2,8,0,cfbd
Dayton,1959,3,7,0,cfbd
Dayton,1960,1,9,0,cfbd
Dayton,1961,2,8,0,cfbd
Dayton,1962,2,8,0,cfbd
Dayton,1963,1,7,2,cfbd
Dayton,1964,3,7,0,cfbd
Dayton,1965,1,8,1,cfbd
Dayton,1966,8,2,0,cfbd
Dayton,1967,6,3,1,cfbd
Dayton,1968,5,5,0,cfbd
Dayton,1969,3,7,0,cfbd
Dayton,1970,5,4,1,cfbd
Dayton,1971,5,6,0,cfbd
Dayton,1972,4,6,1,cfbd
Dayton,1973,5,5,1,cfbd
Dayton,1974,3,8,0,cfbd
Dayton,1975,5,6,0,cfbd
Dayton,1976,4,7,0,cfbd
Dayton,1977,2,2,0,cfbd
Dayton,1978,0,0,1,cfbd
Dayton,1979,0,0,0,cfbd
Dayton,1980,0,0,0,cfbd
Dayton,1981,0,0,0,cfbd
Dayton,1982,0,0,0,cfbd
Dayton,1983,0,0,0,cfbd
Dayton,1984,0,0,0,cfbd
Dayton,1985,0,0,0,cfbd
Dayton,1986,0,0,0,cfbd
Dayton,1987,0,0,0,cfbd
Dayton,1988,0,0,0,cfbd
Dayton,1989,0,0,0,cfbd
Dayton,1990,0,0,0,cfbd
Dayton,1991,0,0,0,cfbd
Dayton,1992,0,0,0,cfbd
Dayton,1993,0,0,0,cfbd
Dayton,1994,0,0,0,cfbd
Dayton,1995,0,0,0,cfbd
Dayton,1996,0,0,0,cfbd
Dayton,1997,0,0,0,cfbd
Dayton,1998,0,0,0,cfbd
Dayton,1999,0,0,0,cfbd
Dayton,2000,0,0,0,cfbd
Dayton,2001,0,0,0,cfbd
Dayton,2002,0,0,0,cfbd
Dayton,2003,1,0,0,cfbd
Dayton,2004,1,1,0,cfbd
Dayton,2005,9,1,0,cfbd
Dayton,2006,4,6,0,cfbd
Dayton,2007,11,1,0,cfbd
Dayton,2008,9,3,0,cfbd
Dayton,2009,8,2,0,cfbd
Dayton,2010,9,1,0,cfbd
Dayton,2011,6,5,0,cfbd
Dayton,2012,6,5,0,cfbd
Dayton,2013,7,4,0,cfbd
Dayton,2014,7,3,0,cfbd
Dayton,2015,10,2,0,cfbd
Dayton,2016,9,2,0,cfbd
Dayton,2017,5,6,0,cfbd
Dayton,2018,6,5,0,cfbd
Dayton,2019,8,3,0,cfbd
Dayton,2021,6,4,0,cfbd
Dayton,2022,8,3,0,cfbd
Dayton,2023,4,7,0,cfbd
Dayton,2024,6,5,0,cfbd
Dayton,2025,7,4,0,cfbd
Dayton,2026,0,0,0,cfbd
Dean,2014,0,0,0,cfbd
Dean,2015,0,0,0,cfbd
Dean,2016,0,0,0,cfbd
Dean,2017,0,0,0,cfbd
Dean,2018,0,0,0,cfbd
Dean,2019,0,0,0,cfbd
Dean,2020,0,0,0,cfbd
Dean,2021,0,0,0,cfbd
Dean,2022,1,9,0,cfbd
Dean,2023,2,8,0,cfbd
Dean,2024,0,8,0,cfbd
Dean,2025,0,10,0,cfbd
Dean,2026,0,0,0,cfbd
Defiance College,2014,0,0,0,cfbd
Defiance College,2015,0,0,0,cfbd
Defiance College,2016,0,0,0,cfbd
Defiance College,2017,0,0,0,cfbd
Defiance College,2018,0,0,0,cfbd
Defiance College,2019,0,0,0,cfbd
Defiance College,2020,2,5,0,cfbd
Defiance College,2021,0,0,0,cfbd
Defiance College,2022,3,7,0,cfbd
Defiance College,2023,4,6,0,cfbd
Del Monte Pre-Flight,1943,7,1,0,cfbd
Delaware,1936,0,1,0,cfbd
Delaware,1937,0,0,0,cfbd
Delaware,1938,0,0,0,cfbd
Delaware,1939,0,1,0,cfbd
Delaware,1940,0,1,0,cfbd
Delaware,1941,0,0,0,cfbd
Delaware,1942,0,0,0,cfbd
Delaware,1946,1,0,0,cfbd
Delaware,1947,0,2,0,cfbd
Delaware,1948,0,2,0,cfbd
Delaware,1949,3,0,0,cfbd
Delaware,1950,0,2,0,cfbd
Delaware,1951,0,1,0,cfbd
Delaware,1952,0,0,0,cfbd
Delaware,1953,0,0,0,cfbd
Delaware,1954,0,0,0,cfbd
Delaware,1955,1,0,0,cfbd
Delaware,1956,1,0,0,cfbd
Delaware,1957,1,0,0,cfbd
Delaware,1958,0,1,0,cfbd
Delaware,1959,1,0,0,cfbd
Delaware,1960,0,1,0,cfbd
Delaware,1961,0,1,0,cfbd
Delaware,1962,1,2,0,cfbd
Delaware,1963,4,0,0,cfbd
Delaware,1964,2,2,0,cfbd
Delaware,1965,2,1,0,cfbd
Delaware,1966,0,2,0,cfbd
Delaware,1967,0,3,0,cfbd
Delaware,1968,0,3,0,cfbd
Delaware,1969,1,1,0,cfbd
Delaware,1970,1,1,0,cfbd
Delaware,1971,2,1,0,cfbd
Delaware,1972,2,0,0,cfbd
Delaware,1973,0,3,0,cfbd
Delaware,1974,2,1,0,cfbd
Delaware,1975,4,1,0,cfbd
Delaware,1976,2,2,1,cfbd
Delaware,1977,2,2,0,cfbd
Delaware,1978,2,2,0,cfbd
Delaware,1979,3,1,0,cfbd
Delaware,1980,3,0,0,cfbd
Delaware,1981,3,0,0,cfbd
Delaware,1982,1,1,0,cfbd
Delaware,1983,1,1,0,cfbd
Delaware,1984,1,0,0,cfbd
Delaware,1985,2,0,0,cfbd
Delaware,1986,1,0,0,cfbd
Delaware,1987,0,1,0,cfbd
Delaware,1988,0,1,0,cfbd
Delaware,1989,1,0,0,cfbd
Delaware,1990,0,1,0,cfbd
Delaware,1991,1,0,0,cfbd
Delaware,1992,1,0,0,cfbd
Delaware,1993,0,0,0,cfbd
Delaware,1994,0,0,0,cfbd
Delaware,1995,0,1,0,cfbd
Delaware,1996,0,1,0,cfbd
Delaware,1997,0,0,0,cfbd
Delaware,1998,0,0,0,cfbd
Delaware,1999,0,0,0,cfbd
Delaware,2000,0,0,0,cfbd
Delaware,2001,0,0,0,cfbd
Delaware,2002,0,0,0,cfbd
Delaware,2003,11,1,0,cfbd
Delaware,2004,9,3,0,cfbd
Delaware,2005,6,5,0,cfbd
Delaware,2006,6,6,0,cfbd
Delaware,2007,10,3,0,cfbd
Delaware,2008,4,8,0,cfbd
Delaware,2009,6,5,0,cfbd
Delaware,2010,8,2,0,cfbd
Delaware,2011,7,4,0,cfbd
Delaware,2012,4,6,0,cfbd
Delaware,2013,7,5,0,cfbd
Delaware,2014,6,6,0,cfbd
Delaware,2015,4,7,0,cfbd
Delaware,2016,4,7,0,cfbd
Delaware,2017,7,4,0,cfbd
Delaware,2018,7,5,0,cfbd
Delaware,2019,5,7,0,cfbd
Delaware,2020,7,1,0,cfbd
Delaware,2021,5,6,0,cfbd
Delaware,2022,8,5,0,cfbd
Delaware,2023,9,4,0,cfbd
Delaware,2024,9,2,0,cfbd
Delaware,2025,7,6,0,cfbd
Delaware,2026,0,0,0,cfbd
Delaware State,1936,0,0,0,cfbd
Delaware State,1937,0,0,0,cfbd
Delaware State,1938,0,0,0,cfbd
Delaware State,1939,0,0,0,cfbd
Delaware State,1941,0,0,0,cfbd
Delaware State,1942,0,0,0,cfbd
Delaware State,1944,0,0,0,cfbd
Delaware State,1945,0,0,0,cfbd
Delaware State,1946,0,0,0,cfbd
Delaware State,1947,0,0,0,cfbd
Delaware State,1948,0,0,0,cfbd
Delaware State,1949,0,0,0,cfbd
Delaware State,1950,0,0,0,cfbd
Delaware State,1951,0,0,0,cfbd
Delaware State,1952,0,0,0,cfbd
Delaware State,1953,0,0,0,cfbd
Delaware State,1954,0,0,0,cfbd
Delaware State,1955,0,0,0,cfbd
Delaware State,1956,0,0,0,cfbd
Delaware State,1957,0,0,0,cfbd
Delaware State,1958,0,0,0,cfbd
Delaware State,1959,0,0,0,cfbd
Delaware State,1960,0,0,0,cfbd
Delaware State,1961,0,0,0,cfbd
Delaware State,1962,0,0,0,cfbd
Delaware State,1963,0,0,0,cfbd
Delaware State,1964,0,0,0,cfbd
Delaware State,1965,0,0,0,cfbd
Delaware State,1966,0,0,0,cfbd
Delaware State,1967,0,0,0,cfbd
Delaware State,1968,0,0,0,cfbd
Delaware State,1969,0,0,0,cfbd
Delaware State,1970,0,0,0,cfbd
Delaware State,1971,0,0,0,cfbd
Delaware State,1972,0,0,0,cfbd
Delaware State,1973,0,0,0,cfbd
Delaware State,1974,0,0,0,cfbd
Delaware State,1975,0,0,0,cfbd
Delaware State,1976,0,0,0,cfbd
Delaware State,1977,0,0,0,cfbd
Delaware State,1978,0,0,0,cfbd
Delaware State,1979,0,0,0,cfbd
Delaware State,1980,0,0,0,cfbd
Delaware State,1981,0,0,0,cfbd
Delaware State,1982,0,0,0,cfbd
Delaware State,1983,0,0,0,cfbd
Delaware State,1984,0,0,0,cfbd
Delaware State,1985,0,0,0,cfbd
Delaware State,1986,0,0,0,cfbd
Delaware State,1987,1,0,0,cfbd
Delaware State,1988,0,0,0,cfbd
Delaware State,1989,0,0,0,cfbd
Delaware State,1990,0,0,0,cfbd
Delaware State,1991,0,0,0,cfbd
Delaware State,1992,0,0,0,cfbd
Delaware State,1993,0,0,0,cfbd
Delaware State,1994,0,0,0,cfbd
Delaware State,1995,0,0,0,cfbd
Delaware State,1996,0,0,0,cfbd
Delaware State,1997,0,0,0,cfbd
Delaware State,1998,0,0,0,cfbd
Delaware State,1999,0,0,0,cfbd
Delaware State,2000,0,0,0,cfbd
Delaware State,2001,0,0,0,cfbd
Delaware State,2002,0,0,0,cfbd
Delaware State,2003,1,10,0,cfbd
Delaware State,2004,4,7,0,cfbd
Delaware State,2005,5,4,0,cfbd
Delaware State,2006,8,3,0,cfbd
Delaware State,2007,10,2,0,cfbd
Delaware State,2008,5,6,0,cfbd
Delaware State,2009,4,6,0,cfbd
Delaware State,2010,3,8,0,cfbd
Delaware State,2011,3,8,0,cfbd
Delaware State,2012,4,5,0,cfbd
Delaware State,2013,5,6,0,cfbd
Delaware State,2014,2,10,0,cfbd
Delaware State,2015,1,10,0,cfbd
Delaware State,2016,0,11,0,cfbd
Delaware State,2017,2,9,0,cfbd
Delaware State,2018,3,8,0,cfbd
Delaware State,2019,2,10,0,cfbd
Delaware State,2020,2,3,0,cfbd
Delaware State,2021,5,6,0,cfbd
Delaware State,2022,5,6,0,cfbd
Delaware State,2023,1,10,0,cfbd
Delaware State,2024,1,11,0,cfbd
Delaware State,2025,8,4,0,cfbd
Delaware State,2026,1,0,0,cfbd
Delaware Valley,2014,0,0,0,cfbd
Delaware Valley,2015,0,0,0,cfbd
Delaware Valley,2016,0,0,0,cfbd
Delaware Valley,2017,0,0,0,cfbd
Delaware Valley,2018,0,0,0,cfbd
