school,season,wins,losses,ties,source
Alabama A&M,1952,0,0,0,cfbd
Alabama A&M,1953,0,0,0,cfbd
Alabama A&M,1954,0,0,0,cfbd
Alabama A&M,1955,0,0,0,cfbd
Alabama A&M,1956,0,0,0,cfbd
Alabama A&M,1957,0,0,0,cfbd
Alabama A&M,1958,0,0,0,cfbd
Alabama A&M,1959,0,0,0,cfbd
Alabama A&M,1960,0,0,0,cfbd
Alabama A&M,1961,0,0,0,cfbd
Alabama A&M,1962,0,0,0,cfbd
Alabama A&M,1963,0,0,0,cfbd
Alabama A&M,1964,0,0,0,cfbd
Alabama A&M,1965,0,0,0,cfbd
Alabama A&M,1966,0,0,0,cfbd
Alabama A&M,1967,0,0,0,cfbd
Alabama A&M,1968,0,0,0,cfbd
Alabama A&M,1969,0,0,0,cfbd
Alabama A&M,1970,0,0,0,cfbd
Alabama A&M,1971,0,0,0,cfbd
Alabama A&M,1972,0,0,0,cfbd
Alabama A&M,1973,0,0,0,cfbd
Alabama A&M,1974,0,0,0,cfbd
Alabama A&M,1975,0,0,0,cfbd
Alabama A&M,1976,0,0,0,cfbd
Alabama A&M,1977,0,1,0,cfbd
Alabama A&M,1978,0,0,0,cfbd
Alabama A&M,1979,0,0,0,cfbd
Alabama A&M,1980,0,0,0,cfbd
Alabama A&M,1981,0,0,0,cfbd
Alabama A&M,1982,0,0,0,cfbd
Alabama A&M,1983,0,0,0,cfbd
Alabama A&M,1984,0,0,0,cfbd
Alabama A&M,1985,0,0,0,cfbd
Alabama A&M,1986,0,0,0,cfbd
Alabama A&M,1987,0,0,0,cfbd
Alabama A&M,1988,0,0,0,cfbd
Alabama A&M,1989,0,0,0,cfbd
Alabama A&M,1990,0,0,0,cfbd
Alabama A&M,1991,0,0,0,cfbd
Alabama A&M,1992,0,0,0,cfbd
Alabama A&M,1993,0,0,0,cfbd
Alabama A&M,1994,0,0,0,cfbd
Alabama A&M,1995,0,0,0,cfbd
Alabama A&M,1996,0,0,0,cfbd
Alabama A&M,1997,0,0,0,cfbd
Alabama A&M,1998,0,0,0,cfbd
Alabama A&M,1999,0,0,0,cfbd
Alabama A&M,2000,0,0,0,cfbd
Alabama A&M,2001,0,0,0,cfbd
Alabama A&M,2002,0,0,0,cfbd
Alabama A&M,2003,2,1,0,cfbd
Alabama A&M,2004,1,1,0,cfbd
Alabama A&M,2005,0,0,0,cfbd
Alabama A&M,2006,1,0,0,cfbd
Alabama A&M,2007,8,3,0,cfbd
Alabama A&M,2008,5,7,0,cfbd
Alabama A&M,2009,7,4,0,cfbd
Alabama A&M,2010,2,8,0,cfbd
Alabama A&M,2011,8,3,0,cfbd
Alabama A&M,2012,7,4,0,cfbd
Alabama A&M,2013,3,8,0,cfbd
Alabama A&M,2014,4,8,0,cfbd
Alabama A&M,2015,3,7,0,cfbd
Alabama A&M,2016,4,7,0,cfbd
Alabama A&M,2017,4,7,0,cfbd
Alabama A&M,2018,5,5,0,cfbd
Alabama A&M,2019,7,5,0,cfbd
Alabama A&M,2020,5,0,0,cfbd
Alabama A&M,2021,7,3,0,cfbd
Alabama A&M,2022,4,7,0,cfbd
Alabama A&M,2023,5,6,0,cfbd
Alabama A&M,2024,6,6,0,cfbd
Alabama A&M,2025,4,8,0,cfbd
Alabama A&M,2026,0,0,0,cfbd
Alabama State,1936,0,0,0,cfbd
Alabama State,1937,0,0,0,cfbd
Alabama State,1938,0,0,0,cfbd
Alabama State,1939,0,0,0,cfbd
Alabama State,1940,0,0,0,cfbd
Alabama State,1941,0,0,0,cfbd
Alabama State,1942,0,0,0,cfbd
Alabama State,1943,0,0,0,cfbd
Alabama State,1944,0,0,0,cfbd
Alabama State,1945,0,0,0,cfbd
Alabama State,1946,0,0,0,cfbd
Alabama State,1947,0,0,0,cfbd
Alabama State,1948,0,0,0,cfbd
Alabama State,1949,0,0,0,cfbd
Alabama State,1950,0,0,0,cfbd
Alabama State,1951,0,0,0,cfbd
Alabama State,1952,0,0,0,cfbd
Alabama State,1953,0,0,0,cfbd
Alabama State,1954,0,0,0,cfbd
Alabama State,1955,0,0,0,cfbd
Alabama State,1956,0,0,0,cfbd
Alabama State,1957,0,0,0,cfbd
Alabama State,1958,0,0,0,cfbd
Alabama State,1959,0,0,0,cfbd
Alabama State,1960,0,0,0,cfbd
Alabama State,1961,0,0,0,cfbd
Alabama State,1962,0,0,0,cfbd
Alabama State,1963,0,0,0,cfbd
Alabama State,1964,0,0,0,cfbd
Alabama State,1965,0,0,0,cfbd
Alabama State,1966,0,0,0,cfbd
Alabama State,1967,0,0,0,cfbd
Alabama State,1968,0,0,0,cfbd
Alabama State,1969,0,0,0,cfbd
Alabama State,1970,0,0,0,cfbd
Alabama State,1971,0,0,0,cfbd
Alabama State,1972,0,0,0,cfbd
Alabama State,1973,0,0,0,cfbd
Alabama State,1974,0,0,0,cfbd
Alabama State,1975,0,0,0,cfbd
Alabama State,1976,0,0,0,cfbd
Alabama State,1977,0,2,0,cfbd
Alabama State,1978,0,0,0,cfbd
Alabama State,1979,0,0,0,cfbd
Alabama State,1980,0,0,0,cfbd
Alabama State,1981,0,0,0,cfbd
Alabama State,1982,0,0,0,cfbd
Alabama State,1983,0,0,0,cfbd
Alabama State,1984,0,0,0,cfbd
Alabama State,1985,0,0,0,cfbd
Alabama State,1986,0,0,0,cfbd
Alabama State,1987,0,0,0,cfbd
Alabama State,1988,0,0,0,cfbd
Alabama State,1989,0,0,0,cfbd
Alabama State,1990,0,0,0,cfbd
Alabama State,1991,0,0,0,cfbd
Alabama State,1992,0,0,0,cfbd
Alabama State,1993,0,0,0,cfbd
Alabama State,1994,0,0,0,cfbd
Alabama State,1995,0,0,0,cfbd
Alabama State,1996,0,0,0,cfbd
Alabama State,1997,0,0,0,cfbd
Alabama State,1998,0,0,0,cfbd
Alabama State,1999,0,0,0,cfbd
Alabama State,2000,0,0,0,cfbd
